model_name,total_params,active_params,input_embedding_params,status
AITeamVN/Vietnamese_Embedding,567754752,311752704,256002048,success
Alibaba-NLP/gme-Qwen2-VL-2B-Instruct,2208985600,1975611904,233373696,success
Alibaba-NLP/gme-Qwen2-VL-7B-Instruct,7746378240,7201380864,544997376,success
Alibaba-NLP/gte-Qwen1.5-7B-instruct,,,,"skipped, too large"
Alibaba-NLP/gte-Qwen2-1.5B-instruct,1543268864,1310340608,232928256,success
Alibaba-NLP/gte-Qwen2-7B-instruct,7069121024,6525621760,543499264,success
Alibaba-NLP/gte-base-en-v1.5,136776192,113330688,23445504,success
Alibaba-NLP/gte-modernbert-base,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
Alibaba-NLP/gte-multilingual-base,305368320,113331456,192036864,success
ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-3B-v1,,,,"error: The checkpoint you are trying to load has model type `qwen2_5_vl` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-7B-v1,,,,"error: The checkpoint you are trying to load has model type `qwen2_5_vl` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
BAAI/bge-base-en,109482240,86041344,23440896,success
BAAI/bge-base-en-v1.5,109482240,86041344,23440896,success
BAAI/bge-base-zh,102267648,86041344,16226304,success
BAAI/bge-base-zh-v1.5,102267648,86041344,16226304,success
BAAI/bge-en-icl,7110672384,6979588096,131084288,success
BAAI/bge-large-en,335141888,303887360,31254528,success
BAAI/bge-large-en-v1.5,335141888,303887360,31254528,success
BAAI/bge-large-zh,325522432,303887360,21635072,success
BAAI/bge-large-zh-v1.5,325522432,303887360,21635072,success
BAAI/bge-m3,567754752,311752704,256002048,success
BAAI/bge-m3-unsupervised,567754752,311752704,256002048,success
BAAI/bge-multilingual-gemma2,9241713152,8324201984,917511168,success
BAAI/bge-reranker-v2-m3,567754752,311752704,256002048,success
BAAI/bge-small-en,33360000,21639552,11720448,success
BAAI/bge-small-en-v1.5,33360000,21639552,11720448,success
BAAI/bge-small-zh,23953920,13136384,10817536,success
BAAI/bge-small-zh-v1.5,23953920,13136384,10817536,success
BAAI/bge-visualized-base,,,,"error: BAAI/bge-visualized-base is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
BAAI/bge-visualized-m3,,,,"error: BAAI/bge-visualized-m3 is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
BMRetriever/BMRetriever-1B,908759040,805736448,103022592,success
BMRetriever/BMRetriever-2B,2506172416,1981884416,524288000,success
BMRetriever/BMRetriever-410M,353822720,302311424,51511296,success
BMRetriever/BMRetriever-7B,7110660096,6979588096,131072000,success
BeastyZ/e5-R-mistral-7b,7110660096,6979588096,131072000,success
ByteDance-Seed/Seed1.5-Embedding,,,,proprietary
ByteDance/ListConRanker,,,,"error: Unrecognized configuration class <class 'transformers_modules.ByteDance.ListConRanker.95ae6a5f422a916bc36520f0f3e198e7d91520a0.configuration_listconranker.ListConRankerConfig'> for this kind of AutoModel: AutoModel.
Model type should be one of AlbertConfig, AlignConfig, AltCLIPConfig, ASTConfig, AutoformerConfig, BarkConfig, BartConfig, BeitConfig, BertConfig, BertGenerationConfig, BigBirdConfig, BigBirdPegasusConfig, BioGptConfig, BitConfig, BlenderbotConfig, BlenderbotSmallConfig, BlipConfig, Blip2Config, BloomConfig, BridgeTowerConfig, BrosConfig, CamembertConfig, CanineConfig, ChameleonConfig, ChineseCLIPConfig, ChineseCLIPVisionConfig, ClapConfig, CLIPConfig, CLIPTextConfig, CLIPVisionConfig, CLIPSegConfig, ClvpConfig, LlamaConfig, CodeGenConfig, CohereConfig, ConditionalDetrConfig, ConvBertConfig, ConvNextConfig, ConvNextV2Config, CpmAntConfig, CTRLConfig, CvtConfig, DacConfig, Data2VecAudioConfig, Data2VecTextConfig, Data2VecVisionConfig, DbrxConfig, DebertaConfig, DebertaV2Config, DecisionTransformerConfig, DeformableDetrConfig, DeiTConfig, DetaConfig, DetrConfig, DinatConfig, Dinov2Config, DistilBertConfig, DonutSwinConfig, DPRConfig, DPTConfig, EfficientFormerConfig, EfficientNetConfig, ElectraConfig, EncodecConfig, ErnieConfig, ErnieMConfig, EsmConfig, FalconConfig, FalconMambaConfig, FastSpeech2ConformerConfig, FlaubertConfig, FlavaConfig, FNetConfig, FocalNetConfig, FSMTConfig, FunnelConfig, GemmaConfig, Gemma2Config, GitConfig, GlmConfig, GLPNConfig, GPT2Config, GPT2Config, GPTBigCodeConfig, GPTNeoConfig, GPTNeoXConfig, GPTNeoXJapaneseConfig, GPTJConfig, GPTSanJapaneseConfig, GraniteConfig, GraniteMoeConfig, GraphormerConfig, GroundingDinoConfig, GroupViTConfig, HieraConfig, HubertConfig, IBertConfig, IdeficsConfig, Idefics2Config, Idefics3Config, IJepaConfig, ImageGPTConfig, InformerConfig, JambaConfig, JetMoeConfig, JukeboxConfig, Kosmos2Config, LayoutLMConfig, LayoutLMv2Config, LayoutLMv3Config, LEDConfig, LevitConfig, LiltConfig, LlamaConfig, LongformerConfig, LongT5Config, LukeConfig, LxmertConfig, M2M100Config, MambaConfig, Mamba2Config, MarianConfig, MarkupLMConfig, Mask2FormerConfig, MaskFormerConfig, MaskFormerSwinConfig, MBartConfig, MCTCTConfig, MegaConfig, MegatronBertConfig, MgpstrConfig, MimiConfig, MistralConfig, MixtralConfig, MobileBertConfig, MobileNetV1Config, MobileNetV2Config, MobileViTConfig, MobileViTV2Config, MoshiConfig, MPNetConfig, MptConfig, MraConfig, MT5Config, MusicgenConfig, MusicgenMelodyConfig, MvpConfig, NatConfig, NemotronConfig, NezhaConfig, NllbMoeConfig, NystromformerConfig, OlmoConfig, Olmo2Config, OlmoeConfig, OmDetTurboConfig, OneFormerConfig, OpenLlamaConfig, OpenAIGPTConfig, OPTConfig, Owlv2Config, OwlViTConfig, PatchTSMixerConfig, PatchTSTConfig, PegasusConfig, PegasusXConfig, PerceiverConfig, PersimmonConfig, PhiConfig, Phi3Config, PhimoeConfig, PixtralVisionConfig, PLBartConfig, PoolFormerConfig, ProphetNetConfig, PvtConfig, PvtV2Config, QDQBertConfig, Qwen2Config, Qwen2AudioEncoderConfig, Qwen2MoeConfig, Qwen2VLConfig, RecurrentGemmaConfig, ReformerConfig, RegNetConfig, RemBertConfig, ResNetConfig, RetriBertConfig, RobertaConfig, RobertaPreLayerNormConfig, RoCBertConfig, RoFormerConfig, RTDetrConfig, RwkvConfig, SamConfig, SeamlessM4TConfig, SeamlessM4Tv2Config, SegformerConfig, SegGptConfig, SEWConfig, SEWDConfig, SiglipConfig, SiglipVisionConfig, Speech2TextConfig, SpeechT5Config, SplinterConfig, SqueezeBertConfig, StableLmConfig, Starcoder2Config, SwiftFormerConfig, SwinConfig, Swin2SRConfig, Swinv2Config, SwitchTransformersConfig, T5Config, TableTransformerConfig, TapasConfig, TimeSeriesTransformerConfig, TimesformerConfig, TimmBackboneConfig, TrajectoryTransformerConfig, TransfoXLConfig, TvltConfig, TvpConfig, UdopConfig, UMT5Config, UniSpeechConfig, UniSpeechSatConfig, UnivNetConfig, VanConfig, VideoMAEConfig, ViltConfig, VisionTextDualEncoderConfig, VisualBertConfig, ViTConfig, ViTHybridConfig, ViTMAEConfig, ViTMSNConfig, VitDetConfig, VitsConfig, VivitConfig, Wav2Vec2Config, Wav2Vec2BertConfig, Wav2Vec2ConformerConfig, WavLMConfig, WhisperConfig, XCLIPConfig, XGLMConfig, XLMConfig, XLMProphetNetConfig, XLMRobertaConfig, XLMRobertaXLConfig, XLNetConfig, XmodConfig, YolosConfig, YosoConfig, ZambaConfig."
Bytedance/Seed1.6-embedding,,,,proprietary
Bytedance/Seed1.6-embedding-1215,,,,proprietary
Classical/Yinka,325522432,303887360,21635072,success
Cohere/Cohere-embed-english-light-v3.0,,,,proprietary
Cohere/Cohere-embed-english-v3.0,,,,proprietary
Cohere/Cohere-embed-multilingual-light-v3.0,,,,proprietary
Cohere/Cohere-embed-multilingual-v3.0,,,,proprietary
Cohere/Cohere-embed-v4.0,,,,proprietary
Cohere/Cohere-embed-v4.0 (output_dtype=binary),,,,proprietary
Cohere/Cohere-embed-v4.0 (output_dtype=int8),,,,proprietary
DMetaSoul/Dmeta-embedding-zh-small,74309376,58083072,16226304,success
DMetaSoul/sbert-chinese-general-v1,102267648,86041344,16226304,success
DeepPavlov/distilrubert-small-cased-conversational,106382592,14570496,91812096,success
DeepPavlov/rubert-base-cased,177853440,86041344,91812096,success
DeepPavlov/rubert-base-cased-sentence,177853440,86041344,91812096,success
FacebookAI/xlm-roberta-base,278043648,86042112,192001536,success
FacebookAI/xlm-roberta-large,559890432,303888384,256002048,success
Gameselo/STS-multilingual-mpnet-base-v2,278043648,86042112,192001536,success
GeoGPT-Research-Project/GeoEmbedding,7110660096,6979588096,131072000,success
GreenNode/GreenNode-Embedding-Large-VN-Mixed-V1,567754752,311752704,256002048,success
GreenNode/GreenNode-Embedding-Large-VN-V1,567754752,311752704,256002048,success
GritLM/GritLM-7B,7110660096,6979588096,131072000,success
GritLM/GritLM-8x7B,,,,skipped: too large from safetensors (~46.70B params)
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,494032768,357898112,136134656,success
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5,494032768,357898112,136134656,success
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2,494032768,357898112,136134656,success
HIT-TMG/KaLM-embedding-multilingual-mini-v1,494032768,357898112,136134656,success
Haon-Chen/speed-embedding-7b-instruct,,,,skipped: too large from safetensors (~7.11B params)
HooshvareLab/bert-base-parsbert-uncased,162841344,86041344,76800000,success
Hum-Works/lodestone-base-4096-v1,,,,error: The model class you are passing has a `config_class` attribute that is not consistent with the config class you passed (model has <class 'transformers.models.bert.configuration_bert.BertConfig'> and you passed <class 'transformers_modules.Hum-Works.lodestone-base-4096-v1.9bbc2d0b57dd2198aea029404b0f976712a7d966.configuration_bert.BertConfig'>. Fix one of those so they match!
Human,,,,skipped
IEITYuan/Yuan-embedding-2.0-en,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
IEITYuan/Yuan-embedding-2.0-zh,325522432,303887360,21635072,success
Jaume/gemma-2b-embeddings,,,,skipped: too large from safetensors (~2.51B params)
KBLab/sentence-bert-swedish-cased,124690944,86041344,38649600,success
KFST/XLMRoberta-en-da-sv-nb,278043648,86042112,192001536,success
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,494032768,357898112,136134656,success
KennethEnevoldsen/dfm-sentence-encoder-large,355087360,303887360,51200000,success
KennethEnevoldsen/dfm-sentence-encoder-medium,124445952,86042112,38403840,success
Kingsoft-LLM/QZhou-Embedding,,,,skipped: too large from safetensors (~7.07B params)
Kingsoft-LLM/QZhou-Embedding-Zh,,,,skipped: too large from safetensors (~7.57B params)
Kowshik24/bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2,278043648,86042112,192001536,success
Lajavaness/bilingual-embedding-base,278043648,86042112,192001536,success
Lajavaness/bilingual-embedding-large,559890432,303888384,256002048,success
Lajavaness/bilingual-embedding-small,117653760,21639552,96014208,success
Linq-AI-Research/Linq-Embed-Mistral,,,,skipped: too large from safetensors (~7.11B params)
MCINext/Hakim,,,,proprietary
MCINext/Hakim-small,,,,proprietary
MCINext/Hakim-unsup,,,,proprietary
McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised,,,,"error: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/meta-llama/Llama-2-7b-chat-hf.
401 Client Error. (Request ID: Root=1-6958e844-385c7cb47e397348194c9600;5546997d-a8ca-40df-8132-ca06cd4005bf)

Cannot access gated repo for url https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json.
Access to model meta-llama/Llama-2-7b-chat-hf is restricted. You must have access to it and be authenticated to access it. Please log in."
McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse,,,,"error: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/meta-llama/Llama-2-7b-chat-hf.
401 Client Error. (Request ID: Root=1-6958e845-639c2de2088a678e677f2d5e;dc751fa9-3993-41d7-8e09-d92657ebcbf3)

Cannot access gated repo for url https://huggingface.co/meta-llama/Llama-2-7b-chat-hf/resolve/main/config.json.
Access to model meta-llama/Llama-2-7b-chat-hf is restricted. You must have access to it and be authenticated to access it. Please log in."
McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised,,,,"error: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct.
401 Client Error. (Request ID: Root=1-6958e845-6443ae462466d393706b2702;8fc08a57-044e-4547-bb85-c03eb314d1ee)

Cannot access gated repo for url https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/config.json.
Access to model meta-llama/Meta-Llama-3-8B-Instruct is restricted. You must have access to it and be authenticated to access it. Please log in."
McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse,,,,"error: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct.
401 Client Error. (Request ID: Root=1-6958e846-593383e527d2087f2dce05f4;0667774a-238b-4c89-87d2-31a1cca5c291)

Cannot access gated repo for url https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct/resolve/main/config.json.
Access to model meta-llama/Meta-Llama-3-8B-Instruct is restricted. You must have access to it and be authenticated to access it. Please log in."
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,7152603136,7021531136,131072000,success
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,7152603136,7021531136,131072000,success
McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised,1294878720,1229342720,65536000,success
McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse,1294878720,1229342720,65536000,success
Mihaiii/Bulbasaur,17389824,5669376,11720448,success
Mihaiii/Ivysaur,22713216,10992768,11720448,success
Mihaiii/Squirtle,15615360,3894912,11720448,success
Mihaiii/Venusaur,15615360,3894912,11720448,success
Mihaiii/Wartortle,17389824,5669376,11720448,success
Mihaiii/gte-micro,17389824,5669376,11720448,success
Mihaiii/gte-micro-v4,19164288,7443840,11720448,success
Mira190/Euler-Legal-Embedding-V1,,,,skipped: too large from safetensors (~8.19B params)
MongoDB/mdbr-leaf-ir,22713216,10992768,11720448,success
MongoDB/mdbr-leaf-mt,22713216,10992768,11720448,success
NbAiLab/nb-bert-base,177853440,86041344,91812096,success
NbAiLab/nb-bert-large,355087360,303887360,51200000,success
NbAiLab/nb-sbert-base,177853440,86041344,91812096,success
NeuML/pubmedbert-base-embeddings-100K,,,,"error: The checkpoint you are trying to load has model type `model2vec` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
NeuML/pubmedbert-base-embeddings-1M,,,,"error: The checkpoint you are trying to load has model type `model2vec` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
NeuML/pubmedbert-base-embeddings-2M,,,,"error: The checkpoint you are trying to load has model type `model2vec` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
NeuML/pubmedbert-base-embeddings-500K,,,,"error: The checkpoint you are trying to load has model type `model2vec` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
NeuML/pubmedbert-base-embeddings-8M,,,,"error: The checkpoint you are trying to load has model type `model2vec` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
NovaSearch/jasper_en_vision_language_v1,1564914432,1331981568,232932864,success
NovaSearch/stella_en_1.5B_v5,1543268864,1310340608,232928256,success
NovaSearch/stella_en_400M_v5,,,,error: please install xformers
Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,135193344,86041344,49152000,success
Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,117653760,21639552,96014208,success
Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2,135193344,86041344,49152000,success
Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,278043648,86042112,192001536,success
Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,470926848,86041344,384885504,success
Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,109486464,86041728,23444736,success
Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,162841344,86041344,76800000,success
OpenSearch-AI/Ops-MoA-Conan-embedding-v1,325522432,303887360,21635072,success
OpenSearch-AI/Ops-MoA-Yuan-embedding-1.0,325522432,303887360,21635072,success
OrdalieTech/Solon-embeddings-large-0.1,559890432,303888384,256002048,success
OrdalieTech/Solon-embeddings-mini-beta-1.1,,,,error: cannot import name 'ALL_ATTENTION_FUNCTIONS' from 'transformers.modeling_utils' (/usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py)
OrlikB/KartonBERT-USE-base-v1,,,,proprietary
OrlikB/st-polish-kartonberta-base-alpha-v1,,,,proprietary
PartAI/Tooka-SBERT,353039360,303887360,49152000,success
PartAI/Tooka-SBERT-V2-Large,353039360,303887360,49152000,success
PartAI/Tooka-SBERT-V2-Small,122905344,86041344,36864000,success
PartAI/TookaBERT-Base,122905344,86041344,36864000,success
Qodo/Qodo-Embed-1-1.5B,1543268864,1310340608,232928256,success
Qodo/Qodo-Embed-1-7B,,,,skipped: too large from safetensors (~7.07B params)
QuanSun/EVA02-CLIP-B-16,,,,"error: QuanSun/EVA02-CLIP-B-16 is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
QuanSun/EVA02-CLIP-L-14,,,,"error: QuanSun/EVA02-CLIP-L-14 is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
QuanSun/EVA02-CLIP-bigE-14,,,,"error: QuanSun/EVA02-CLIP-bigE-14 is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
QuanSun/EVA02-CLIP-bigE-14-plus,,,,"error: QuanSun/EVA02-CLIP-bigE-14-plus is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo either by logging in with `huggingface-cli login` or by passing `token=<your_token>`"
Qwen/Qwen3-Embedding-0.6B,,,,"error: The checkpoint you are trying to load has model type `qwen3` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
Qwen/Qwen3-Embedding-4B,,,,skipped: too large from safetensors (~4.02B params)
Qwen/Qwen3-Embedding-8B,,,,skipped: too large from safetensors (~7.57B params)
ReasonIR/ReasonIR-8B,,,,skipped: too large from safetensors (~7.50B params)
Sailesh97/Hinvec,,,,error: This modeling file requires the following packages that were not found in your environment: loguru. Run `pip install loguru`
Salesforce/SFR-Embedding-2_R,,,,skipped: too large from safetensors (~7.11B params)
Salesforce/SFR-Embedding-Code-2B_R,,,,skipped: too large from safetensors (~2.61B params)
Salesforce/SFR-Embedding-Mistral,,,,skipped: too large from safetensors (~7.11B params)
Salesforce/blip-image-captioning-base,224726017,201283585,23442432,success
Salesforce/blip-image-captioning-large,447175937,423733505,23442432,success
Salesforce/blip-itm-base-coco,224726017,201283585,23442432,success
Salesforce/blip-itm-base-flickr,224726017,201283585,23442432,success
Salesforce/blip-itm-large-coco,447175937,423733505,23442432,success
Salesforce/blip-itm-large-flickr,447175937,423733505,23442432,success
Salesforce/blip-vqa-base,224726017,201283585,23442432,success
Salesforce/blip-vqa-capfilt-large,224726017,201283585,23442432,success
Salesforce/blip2-opt-2.7b,,,,skipped: too large from safetensors (~3.74B params)
Salesforce/blip2-opt-6.7b-coco,,,,skipped: too large from safetensors (~7.75B params)
SamilPwC-AXNode-GenAI/PwC-Embedding_expr,559890432,303888384,256002048,success
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,,,,"error: The checkpoint you are trying to load has model type `modernbert` but Transformers does not recognize this architecture. This could be because of an issue with the checkpoint, or because your version of Transformers is out of date."
Snowflake/snowflake-arctic-embed-l,335141888,303887360,31254528,success
Snowflake/snowflake-arctic-embed-l-v2.0,567754752,311752704,256002048,success
Snowflake/snowflake-arctic-embed-m,109482240,86041344,23440896,success
Snowflake/snowflake-arctic-embed-m-long,,,,error: Model name Snowflake/snowflake-arctic-embed-m-long was not found.
Snowflake/snowflake-arctic-embed-m-v1.5,109482240,86041344,23440896,success
Snowflake/snowflake-arctic-embed-m-v2.0,,,,error: please install xformers
Snowflake/snowflake-arctic-embed-s,33360000,21639552,11720448,success
Snowflake/snowflake-arctic-embed-xs,22713216,10992768,11720448,success
TIGER-Lab/VLM2Vec-Full,,,,skipped: too large from safetensors (~4.15B params)
