task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(a05860a77cef7b37e0048a7864658139bc18a854),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
AJGT,train,default,77.4,77.8,80.3,85.1,75.0,74.8,57.1,,57.9,57.4,,69.9,77.0
AfriSentiClassification,test,amh,33.8,43.4,43.3,43.9,38.8,42.1,28.6,,25.9,27.1,,25.7,50.6
AfriSentiClassification,test,arq,46.1,45.5,45.5,48.8,43.7,43.9,37.1,,40.7,36.0,,38.2,44.7
AfriSentiClassification,test,ary,40.8,39.0,36.7,43.8,38.5,43.0,33.6,,34.1,34.6,,39.3,41.6
AfriSentiClassification,test,hau,60.7,68.2,74.7,66.0,69.0,65.9,49.9,,57.4,49.9,,37.2,50.1
AfriSentiClassification,test,ibo,48.9,41.1,47.3,49.7,41.6,56.5,49.0,,51.6,48.4,,51.4,50.1
AfriSentiClassification,test,kin,44.3,48.8,48.1,49.3,47.3,43.6,36.1,,37.5,37.1,,37.3,38.0
AfriSentiClassification,test,pcm,39.3,40.7,41.5,39.6,41.2,36.3,37.0,,38.2,38.0,,37.2,38.3
AfriSentiClassification,test,por,39.0,40.1,42.3,50.4,40.9,41.6,36.8,,38.1,34.6,,41.2,45.7
AfriSentiClassification,test,swa,38.5,42.6,44.2,43.9,42.7,41.2,35.0,,35.7,36.8,,36.2,39.5
AfriSentiClassification,test,tso,35.9,35.0,34.6,37.4,36.2,34.2,34.8,,36.6,36.0,,35.5,35.5
AfriSentiClassification,test,twi,40.4,37.1,38.1,40.5,37.6,35.9,35.8,,36.7,36.6,,35.6,35.9
AfriSentiClassification,test,yor,29.8,44.2,49.7,40.5,30.9,34.0,33.6,,45.2,32.1,,37.2,39.4
AfriSentiLangClassification,test,default,92.7,67.1,64.3,94.6,56.7,50.6,75.7,,77.1,76.3,,61.1,65.1
AllegroReviews,test,default,37.3,40.8,41.0,52.4,37.3,34.9,23.8,,,23.0,,30.9,33.9
AmazonCounterfactualClassification,test,de,67.6,70.8,68.7,66.6,71.7,73.2,57.1,,57.8,55.7,,68.4,70.0
AmazonCounterfactualClassification,test,en,71.1,77.4,78.7,75.9,71.9,75.9,65.3,,63.6,65.0,,71.6,75.8
AmazonCounterfactualClassification,test,en-ext,70.3,76.9,78.7,73.5,73.1,76.1,67.2,,65.6,67.5,,70.0,76.3
AmazonCounterfactualClassification,test,ja,73.3,72.0,78.8,75.8,61.5,76.4,59.9,,60.9,60.7,,63.4,69.8
AmazonCounterfactualClassification,validation,de,67.1,73.3,70.4,66.4,72.5,74.5,58.4,,58.0,55.0,,69.6,72.0
AmazonCounterfactualClassification,validation,en,69.8,77.2,77.9,76.2,71.3,72.3,64.5,,61.5,65.0,,71.3,75.6
AmazonCounterfactualClassification,validation,en-ext,69.3,75.0,76.3,72.5,70.0,75.0,65.8,,63.5,65.1,,67.8,74.3
AmazonCounterfactualClassification,validation,ja,72.8,72.1,79.8,77.2,61.4,76.6,58.6,,59.4,60.9,,62.6,68.5
AmazonPolarityClassification,test,default,86.7,91.8,93.3,96.3,88.6,68.9,63.0,,64.3,67.1,,69.2,76.4
AmazonReviewsClassification,test,de,43.8,44.4,46.5,53.2,41.1,39.9,25.9,,26.4,26.0,,35.9,39.5
AmazonReviewsClassification,test,en,45.5,47.5,49.2,56.6,45.7,35.8,30.8,,30.8,31.4,,35.1,38.5
AmazonReviewsClassification,test,es,43.0,43.4,44.3,48.9,41.4,39.4,27.6,,27.4,27.7,,37.5,40.0
AmazonReviewsClassification,test,fr,44.1,41.6,42.6,48.5,39.5,38.5,27.5,,26.9,28.5,,35.3,39.0
AmazonReviewsClassification,test,ja,41.5,39.6,41.7,47.6,38.6,36.4,23.6,,23.8,23.7,,33.2,36.6
AmazonReviewsClassification,test,zh,35.3,38.3,38.9,44.7,38.3,36.5,23.0,,23.7,23.6,,35.2,37.7
AmazonReviewsClassification,validation,de,44.1,44.1,46.6,52.0,41.4,40.3,26.6,,26.7,26.2,,35.8,39.9
AmazonReviewsClassification,validation,en,45.3,47.6,49.1,56.0,46.0,35.8,30.4,,30.3,30.9,,35.1,38.8
AmazonReviewsClassification,validation,es,42.6,43.6,44.5,48.8,41.8,39.8,27.5,,27.2,28.1,,37.3,40.2
AmazonReviewsClassification,validation,fr,44.0,40.9,42.6,48.2,39.2,38.5,27.7,,27.0,28.5,,35.3,38.9
AmazonReviewsClassification,validation,ja,41.4,40.5,42.2,48.1,39.1,37.0,23.5,,23.8,23.4,,33.9,37.1
AmazonReviewsClassification,validation,zh,35.1,38.1,38.3,44.1,37.9,35.5,22.7,,23.1,23.5,,34.6,37.1
AngryTweetsClassification,test,default,54.7,56.3,57.7,64.5,56.3,51.1,42.9,,42.5,44.1,,50.9,54.8
ArxivClassification,test,default,71.6,64.5,68.3,71.0,63.5,54.0,67.7,,70.8,73.0,,51.8,52.7
Banking77Classification,test,default,79.4,73.5,75.9,85.7,70.4,69.9,80.4,,80.0,81.7,,79.8,81.1
BengaliDocumentClassification,test,default,42.8,,54.0,54.8,52.1,48.5,9.9,,11.9,10.6,,33.5,43.1
BengaliHateSpeechClassification,train,default,59.0,,48.8,60.8,48.6,50.6,28.6,,29.0,30.4,,34.0,47.8
BengaliSentimentAnalysis,train,default,71.2,79.6,,85.8,83.4,80.4,59.0,,58.5,54.2,,60.6,74.9
BulgarianStoreReviewSentimentClassfication,test,default,62.2,69.4,70.9,70.7,62.7,54.6,32.5,,28.2,32.4,,47.7,55.1
CBD,test,default,71.0,62.6,69.8,73.2,63.3,65.7,48.5,,,50.3,,57.7,65.0
CSFDCZMovieReviewSentimentClassification,test,default,41.0,,38.7,41.7,28.3,28.6,20.4,,19.6,20.1,,26.9,30.3
CSFDSKMovieReviewSentimentClassification,test,default,38.0,32.0,36.6,41.3,28.4,29.3,20.8,,,20.6,,27.3,32.2
CUADAffiliateLicenseLicenseeLegalBenchClassification,test,default,83.3,78.8,81.3,77.8,79.3,76.8,82.8,,83.3,82.3,,79.3,82.3
CUADAffiliateLicenseLicensorLegalBenchClassification,test,default,86.4,73.9,77.3,69.3,81.8,80.7,54.5,,61.4,62.5,,50.0,51.1
CUADAntiAssignmentLegalBenchClassification,test,default,87.5,89.4,87.9,84.0,88.6,82.3,89.0,,86.2,82.8,,87.5,88.2
CUADAuditRightsLegalBenchClassification,test,default,88.3,81.2,89.0,88.9,84.3,79.9,,85.1,85.8,91.9,,80.9,85.0
CUADCapOnLiabilityLegalBenchClassification,test,default,83.5,83.1,82.2,85.2,81.8,76.9,86.0,,85.7,86.8,,76.6,81.3
CUADChangeOfControlLegalBenchClassification,test,default,83.2,75.2,75.7,78.6,73.1,74.8,73.8,,68.3,72.4,,67.1,72.8
CUADCompetitiveRestrictionExceptionLegalBenchClassification,test,default,69.5,60.9,66.4,68.6,58.6,60.5,62.7,,65.5,65.0,,57.3,60.5
CUADCovenantNotToSueLegalBenchClassification,test,default,78.9,77.9,76.6,72.7,71.8,75.3,66.9,,64.9,64.6,,69.8,65.9
CUADEffectiveDateLegalBenchClassification,test,default,64.4,81.4,77.1,66.1,75.0,76.7,86.9,,83.1,72.9,,72.5,77.5
CUADExclusivityLegalBenchClassification,test,default,78.3,65.4,67.1,72.8,67.1,67.1,67.3,,62.6,68.4,,63.3,66.7
CUADExpirationDateLegalBenchClassification,test,default,87.6,87.2,90.8,90.4,87.8,89.3,88.9,,88.6,89.2,,87.7,90.2
CUADGoverningLawLegalBenchClassification,test,default,97.8,95.0,96.3,94.7,94.5,95.1,92.7,,86.8,93.6,,93.7,94.9
CUADIPOwnershipAssignmentLegalBenchClassification,test,default,75.2,77.8,76.9,71.0,71.7,73.6,65.6,,67.9,70.7,,66.0,78.8
CUADInsuranceLegalBenchClassification,test,default,97.2,85.0,88.5,95.7,90.7,80.8,90.8,,93.0,94.3,,87.1,93.0
CUADIrrevocableOrPerpetualLicenseLegalBenchClassification,test,default,88.6,86.1,85.7,91.4,82.5,85.0,83.6,,82.5,75.7,,79.6,79.3
CUADJointIPOwnershipLegalBenchClassification,test,default,89.1,91.7,91.1,89.6,88.5,82.8,91.1,,90.1,85.9,,81.2,87.0
CUADLicenseGrantLegalBenchClassification,test,default,82.1,79.3,81.2,81.4,84.6,71.9,81.4,,81.1,79.0,,71.7,74.6
CUADLiquidatedDamagesLegalBenchClassification,test,default,84.5,80.5,80.0,78.2,80.5,73.6,81.4,,84.5,80.5,,80.0,76.8
CUADMinimumCommitmentLegalBenchClassification,test,default,79.0,75.0,77.7,76.0,72.3,77.7,76.8,,77.7,76.0,,77.5,78.5
CUADMostFavoredNationLegalBenchClassification,test,default,81.2,76.6,85.9,65.6,71.9,59.4,75.0,,75.0,70.3,,75.0,78.1
CUADNoSolicitOfCustomersLegalBenchClassification,test,default,86.9,85.7,82.1,84.5,90.5,71.4,73.8,,72.6,82.1,,75.0,70.2
CUADNoSolicitOfEmployeesLegalBenchClassification,test,default,98.6,95.8,94.4,92.3,97.2,95.1,90.8,,83.8,93.0,,71.8,82.4
CUADNonCompeteLegalBenchClassification,test,default,74.9,57.2,57.2,69.5,59.5,58.6,55.2,,62.7,63.1,,49.8,51.1
CUADNonDisparagementLegalBenchClassification,test,default,88.0,86.0,87.0,80.0,87.0,79.0,78.0,,80.0,80.0,,75.0,76.0
CUADNonTransferableLicenseLegalBenchClassification,test,default,86.5,82.1,82.7,85.6,83.0,79.7,83.9,,82.7,80.8,,76.6,78.8
CUADNoticePeriodToTerminateRenewalLegalBenchClassification,test,default,91.9,91.9,90.5,88.3,89.2,89.2,91.9,,91.9,92.3,,92.8,93.2
CUADPostTerminationServicesLegalBenchClassification,test,default,73.0,65.0,68.8,62.5,66.3,57.3,65.6,,63.2,62.4,,64.6,55.4
CUADPriceRestrictionsLegalBenchClassification,test,default,87.0,89.1,91.3,78.3,89.1,89.1,93.5,,91.3,89.1,,91.3,87.0
CUADRenewalTermLegalBenchClassification,test,default,93.0,91.7,85.2,83.4,87.3,83.2,93.0,,90.9,93.5,,88.6,94.6
CUADRevenueProfitSharingLegalBenchClassification,test,default,87.7,84.4,88.5,92.1,86.7,85.4,91.2,,87.3,92.0,,80.6,85.4
CUADRofrRofoRofnLegalBenchClassification,test,default,72.3,71.3,67.8,66.2,67.2,68.4,65.1,,67.0,67.1,,62.8,70.1
CUADSourceCodeEscrowLegalBenchClassification,test,default,92.4,75.4,76.3,77.1,77.1,64.4,80.5,,75.4,81.4,,57.6,83.9
CUADTerminationForConvenienceLegalBenchClassification,test,default,95.6,92.3,93.7,90.7,90.0,86.3,90.9,,88.4,90.5,,90.0,90.9
CUADThirdPartyBeneficiaryLegalBenchClassification,test,default,77.9,83.8,89.7,82.4,83.8,76.5,,,85.3,91.2,,85.3,86.8
CUADUncappedLiabilityLegalBenchClassification,test,default,92.2,87.8,85.7,83.0,85.4,78.2,89.5,,87.8,85.0,,76.9,81.6
CUADUnlimitedAllYouCanEatLicenseLegalBenchClassification,test,default,70.8,81.2,68.8,68.8,72.9,64.6,72.9,,66.7,60.4,,60.4,72.9
CUADVolumeRestrictionLegalBenchClassification,test,default,72.7,84.5,83.2,82.3,81.4,77.6,79.2,,78.3,73.6,,78.0,75.2
CUADWarrantyDurationLegalBenchClassification,test,default,80.9,75.0,72.8,80.6,80.6,72.5,77.8,,80.3,81.2,,69.4,75.6
CanadaTaxCourtOutcomesLegalBenchClassification,test,default,76.6,68.0,65.6,63.1,73.4,60.7,69.3,,68.4,59.8,,77.5,83.2
CataloniaTweetClassification,test,catalan,52.8,49.4,50.3,,48.2,49.4,45.7,,44.0,47.2,,47.4,48.4
CataloniaTweetClassification,test,spanish,54.0,48.9,50.7,,49.1,43.9,46.3,,46.5,48.9,,43.8,44.7
CataloniaTweetClassification,validation,catalan,52.5,49.4,49.3,,47.5,48.4,45.0,,43.3,46.8,,47.1,48.3
CataloniaTweetClassification,validation,spanish,53.2,49.1,51.3,,48.8,44.4,46.0,,45.7,48.1,,43.8,44.3
ContractNLIConfidentialityOfAgreementLegalBenchClassification,test,default,64.6,64.6,69.5,72.0,62.2,68.3,51.2,,61.0,59.8,,53.7,61.0
ContractNLIExplicitIdentificationLegalBenchClassification,test,default,82.6,,72.5,80.7,63.3,62.4,69.7,,73.4,69.7,,76.1,74.3
ContractNLIInclusionOfVerballyConveyedInformationLegalBenchClassification,test,default,52.5,29.5,38.1,58.3,39.6,51.8,41.0,,38.1,36.0,,37.4,31.7
ContractNLILimitedUseLegalBenchClassification,test,default,57.2,64.4,58.7,66.8,57.2,68.8,54.3,,51.4,50.0,,56.2,54.8
ContractNLINoLicensingLegalBenchClassification,test,default,85.2,82.1,86.4,77.2,80.2,83.3,87.0,,87.0,82.7,,79.6,85.8
ContractNLINoticeOnCompelledDisclosureLegalBenchClassification,test,default,91.5,89.4,89.4,93.7,87.3,89.4,93.7,,93.0,91.5,,72.5,86.6
ContractNLIPermissibleAcquirementOfSimilarInformationLegalBenchClassification,test,default,73.6,79.2,92.7,77.5,77.5,86.0,68.5,,67.4,68.0,,69.7,73.6
ContractNLIPermissibleCopyLegalBenchClassification,test,default,44.8,43.7,41.4,39.1,47.1,46.0,47.1,,44.8,44.8,,35.6,36.8
ContractNLIPermissibleDevelopmentOfSimilarInformationLegalBenchClassification,test,default,91.2,90.4,91.2,82.4,88.2,87.5,79.4,,77.9,86.0,,75.0,83.1
ContractNLIPermissiblePostAgreementPossessionLegalBenchClassification,test,default,51.4,41.4,44.1,48.6,38.7,43.2,56.8,,62.2,72.1,,42.3,36.0
ContractNLIReturnOfConfidentialInformationLegalBenchClassification,test,default,83.3,87.9,86.4,78.8,93.9,80.3,87.9,,89.4,86.4,,80.3,80.3
ContractNLISharingWithEmployeesLegalBenchClassification,test,default,81.2,79.4,77.6,73.5,74.7,74.7,74.7,,76.5,74.1,,71.2,75.3
ContractNLISharingWithThirdPartiesLegalBenchClassification,test,default,71.1,60.6,61.7,67.2,58.9,68.9,,65.0,60.6,61.7,,56.7,61.1
ContractNLISurvivalOfObligationsLegalBenchClassification,test,default,43.9,66.9,73.9,51.6,62.4,51.6,52.2,,37.6,43.9,,61.1,44.6
CorporateLobbyingLegalBenchClassification,test,default,70.4,70.4,70.4,77.6,70.4,70.4,70.4,,70.4,70.4,,75.9,73.7
CyrillicTurkicLangClassification,test,default,61.9,49.6,40.9,86.3,43.3,36.0,66.1,,64.9,59.6,,32.4,33.2
CzechProductReviewSentimentClassification,test,default,55.6,,57.4,60.7,51.0,52.7,44.4,,42.5,43.6,,51.3,55.5
CzechSoMeSentimentClassification,test,default,63.0,61.8,65.0,69.2,59.1,60.1,45.2,,44.5,47.1,,58.3,62.6
CzechSubjectivityClassification,test,default,83.0,,84.6,82.5,79.7,81.0,59.4,,58.0,57.6,,73.6,77.5
CzechSubjectivityClassification,validation,default,82.9,,83.5,81.4,77.7,80.3,59.7,,57.3,57.3,,73.7,77.1
DBpediaClassification,test,default,86.4,,87.2,97.2,87.3,84.8,87.2,,85.4,89.8,,85.1,89.7
DalajClassification,test,default,50.3,49.8,49.9,50.1,50.1,49.9,50.2,,,50.4,,50.1,50.0
DanishPoliticalCommentsClassification,train,default,37.7,36.4,39.4,44.9,34.8,38.3,27.1,,26.7,28.3,,37.6,41.0
DefinitionClassificationLegalBenchClassification,test,default,88.5,88.0,87.1,84.6,85.7,87.2,76.4,,79.5,72.9,,80.4,81.3
Diversity1LegalBenchClassification,test,default,76.3,76.3,76.3,75.7,76.3,76.3,76.3,,76.3,76.3,,76.3,76.3
Diversity2LegalBenchClassification,test,default,74.7,74.7,74.7,76.0,74.7,74.7,74.7,,74.7,74.7,,74.7,74.7
Diversity3LegalBenchClassification,test,default,58.7,58.7,58.7,64.7,58.7,58.7,58.7,,58.7,58.7,,61.3,61.7
Diversity4LegalBenchClassification,test,default,53.3,53.3,53.3,63.0,53.3,53.3,53.3,,53.3,53.3,,53.3,52.3
Diversity5LegalBenchClassification,test,default,57.3,57.3,57.3,68.0,57.3,57.3,57.3,,57.3,57.3,,56.0,59.7
Diversity6LegalBenchClassification,test,default,99.0,76.3,64.3,84.7,59.7,63.7,47.3,,47.0,53.3,,53.3,56.3
DutchBookReviewSentimentClassification,test,default,83.3,71.1,77.7,86.1,67.5,61.1,,51.4,,51.3,,58.2,60.0
EmotionClassification,test,default,48.8,45.7,47.6,51.8,42.9,37.2,41.2,,40.8,42.2,,42.3,45.9
EmotionClassification,validation,default,48.0,46.3,48.2,52.4,43.4,37.4,40.9,,40.6,42.5,,42.0,45.8
EstonianValenceClassification,test,default,35.6,41.2,43.6,44.6,38.5,38.3,28.1,,28.9,28.8,,38.8,40.8
FilipinoShopeeReviewsClassification,test,default,36.9,34.3,35.5,38.3,33.2,32.7,,,25.4,25.9,,26.1,27.2
FilipinoShopeeReviewsClassification,validation,default,36.9,34.1,35.0,38.3,33.2,32.7,,,25.5,26.0,,26.0,27.0
FinToxicityClassification,test,default,57.1,55.5,61.0,61.7,55.5,61.1,,,40.1,42.8,,55.3,58.4
FinancialPhrasebankClassification,train,default,83.0,82.1,84.0,82.0,78.6,71.9,77.5,,74.5,83.0,,74.0,77.4
FrenchBookReviews,train,default,47.0,43.6,44.1,47.2,41.0,38.7,35.7,,33.0,34.6,,41.0,39.3
FrenkEnClassification,test,default,65.8,63.6,63.8,68.4,61.4,60.9,59.3,,58.8,61.5,,58.6,61.8
FrenkHrClassification,test,default,61.3,60.0,61.3,65.4,58.7,61.4,57.5,,57.5,57.3,,59.5,61.5
FrenkSlClassification,test,default,59.3,58.6,58.7,59.0,57.6,58.2,57.3,,,57.8,,55.7,57.1
FunctionOfDecisionSectionLegalBenchClassification,test,default,28.1,21.8,18.5,22.9,23.7,23.2,20.2,,17.2,21.3,,13.6,18.5
GeoreviewClassification,test,default,45.7,46.1,49.7,50.3,44.7,40.9,23.5,,,25.9,,38.2,42.3
GermanPoliticiansTwitterSentimentClassification,test,default,52.9,56.0,56.0,58.9,53.9,51.4,38.4,,38.9,38.1,,48.2,50.5
GreekLegalCodeClassification,test,default,32.2,29.0,32.7,54.1,29.9,19.3,4.0,,3.4,3.0,,29.1,31.0
GreekLegalCodeClassification,validation,default,33.2,29.1,32.8,54.1,30.3,19.8,4.3,,3.2,3.0,,30.4,32.3
GujaratiNewsClassification,test,default,64.7,74.9,76.7,87.0,74.4,76.4,41.6,,42.6,44.1,,76.9,81.9
HateSpeechPortugueseClassification,train,default,59.5,56.5,59.0,60.4,59.1,57.1,55.4,,,,54.3,52.3,55.7
HeadlineClassification,test,default,78.0,75.6,77.2,83.2,73.9,68.8,28.5,,,28.5,,68.3,70.3
HebrewSentimentAnalysis,test,default,63.7,67.0,68.9,70.6,67.0,61.6,53.5,,55.8,56.5,,59.3,63.4
HindiDiscourseClassification,train,default,39.9,39.0,38.7,36.5,39.3,38.4,28.9,,32.0,34.3,,37.4,38.7
HotelReviewSentimentClassification,train,default,49.7,51.8,53.2,57.9,47.5,49.9,40.4,,37.0,42.3,,42.0,46.3
IFlyTek,test,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
IFlyTek,validation,default,48.5,40.8,41.9,47.4,40.7,43.2,15.3,,,17.2,,39.9,44.0
ImdbClassification,test,default,82.3,84.3,90.2,94.6,79.6,62.0,59.8,,61.8,71.2,,60.5,64.6
InappropriatenessClassification,test,default,60.1,58.8,61.6,64.6,59.2,58.5,50.8,,,51.8,,58.2,59.3
IndicLangClassification,test,default,80.7,22.9,20.3,86.3,17.0,19.2,48.1,,48.7,47.1,,27.7,17.9
IndicNLPNewsClassification,test,gu,87.8,97.5,98.3,,96.8,94.3,61.6,,,64.8,,75.8,79.5
IndicNLPNewsClassification,test,kn,90.1,94.7,95.5,,94.6,92.6,61.7,,,67.4,,73.4,84.8
IndicNLPNewsClassification,test,mal,64.8,85.6,87.3,,84.8,84.2,41.9,,,42.9,,59.4,71.5
IndicNLPNewsClassification,test,mr,93.3,96.6,96.9,,96.4,94.2,42.8,,,49.8,,91.3,94.3
IndicNLPNewsClassification,test,ori,66.8,94.2,95.3,,94.7,93.5,43.3,,,46.8,,62.3,91.3
IndicNLPNewsClassification,test,pa,78.3,95.8,96.5,,95.7,93.0,49.2,,,54.3,,64.3,92.0
IndicNLPNewsClassification,test,ta,88.3,94.7,95.2,,94.3,92.5,51.1,,,55.6,,70.9,68.8
IndicNLPNewsClassification,test,tel,88.3,97.3,98.0,,96.8,95.4,59.3,,,62.8,,75.4,78.9
IndicSentimentClassification,test,as,72.3,79.5,80.6,75.6,77.1,77.8,52.6,,52.9,53.1,,62.2,71.3
IndicSentimentClassification,test,bd,56.1,54.4,53.2,55.2,53.9,54.5,52.6,,54.5,51.2,,53.0,52.7
IndicSentimentClassification,test,bn,74.2,87.1,86.2,86.1,81.3,78.1,56.5,,53.5,54.9,,64.8,81.8
IndicSentimentClassification,test,gu,71.0,85.6,85.2,84.6,81.3,76.5,51.2,,51.0,51.3,,82.4,86.6
IndicSentimentClassification,test,hi,83.6,91.2,86.6,91.4,84.7,77.6,58.5,,56.2,54.3,,83.5,88.2
IndicSentimentClassification,test,kn,72.4,84.9,84.1,83.0,81.4,76.5,52.4,,52.2,52.6,,57.9,81.4
IndicSentimentClassification,test,ml,61.3,86.4,86.5,87.1,83.2,78.5,54.1,,53.0,55.3,,59.6,87.0
IndicSentimentClassification,test,mr,73.7,86.6,86.5,87.7,81.3,79.0,57.5,,57.3,54.6,,81.8,85.9
IndicSentimentClassification,test,or,67.7,82.5,84.7,82.5,80.2,77.3,51.3,,51.7,51.7,,68.6,83.2
IndicSentimentClassification,test,pa,70.2,85.5,83.1,80.8,80.8,78.6,51.0,,51.5,51.9,,63.6,80.2
IndicSentimentClassification,test,ta,70.6,86.8,86.3,87.8,81.5,77.8,50.8,,50.8,51.5,,56.9,81.8
IndicSentimentClassification,test,te,62.2,83.9,83.6,80.4,79.1,77.8,52.1,,51.4,52.6,,60.1,80.5
IndicSentimentClassification,test,ur,73.5,87.0,87.0,87.2,84.0,77.7,55.3,,56.4,54.3,,81.4,87.9
IndonesianIdClickbaitClassification,train,default,60.7,60.1,61.2,60.8,58.2,59.1,55.1,,53.9,54.2,,54.5,59.4
IndonesianMongabayConservationClassification,test,default,23.4,23.3,22.5,23.4,25.7,24.5,31.2,,30.3,29.0,,24.9,25.8
IndonesianMongabayConservationClassification,validation,default,24.0,23.6,22.4,23.6,25.6,25.1,32.4,,30.7,28.8,,25.7,26.0
InsurancePolicyInterpretationLegalBenchClassification,test,default,20.3,20.3,20.3,22.6,20.3,20.3,20.3,,20.3,20.3,,22.6,21.1
InternationalCitizenshipQuestionsLegalBenchClassification,test,default,60.7,61.5,59.7,62.6,62.0,64.7,63.4,,60.7,62.1,,63.8,60.2
IsiZuluNewsClassification,train,default,27.7,31.5,32.4,36.1,29.7,32.3,,24.7,,19.9,,20.5,19.9
ItaCaseholdClassification,test,default,66.9,61.5,63.0,77.6,63.8,53.3,67.2,,51.2,59.2,,54.5,71.8
Itacola,test,default,52.1,50.1,48.1,48.1,48.9,50.1,51.7,,52.1,54.6,,47.6,44.7
JCrewBlockerLegalBenchClassification,test,default,87.0,70.4,61.1,79.6,85.2,66.7,81.5,,77.8,85.2,,70.4,66.7
JDReview,test,default,84.0,75.7,80.5,82.9,78.4,79.1,59.6,,,60.2,,70.3,70.3
JavaneseIMDBClassification,test,default,58.8,56.0,55.5,61.3,56.1,55.5,,51.8,52.7,52.9,,52.0,53.4
KLUE-TC,validation,default,60.3,58.3,60.8,69.0,57.2,51.4,21.7,,20.9,23.2,,39.7,49.1
