task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(a05860a77cef7b37e0048a7864658139bc18a854),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
KannadaNewsClassification,train,default,73.4,81.1,83.6,92.9,80.5,81.9,43.8,,46.0,44.7,,71.0,80.7
KinopoiskClassification,test,default,56.1,50.9,56.6,62.4,50.0,46.8,34.2,,,34.2,,41.5,44.3
KorHateClassification,train,default,43.3,43.7,44.3,44.8,42.6,42.2,37.2,,34.4,36.8,,40.5,42.2
KorSarcasmClassification,train,default,57.6,54.7,56.8,57.0,55.2,56.1,54.4,,53.7,54.1,,55.7,55.6
KurdishSentimentClassification,test,default,65.7,76.4,77.1,80.4,78.6,61.0,58.6,,58.1,61.3,,80.3,79.2
LccSentimentClassification,test,default,57.2,60.1,61.5,70.8,58.6,50.1,41.9,,38.5,39.3,,54.5,58.4
LearnedHandsBenefitsLegalBenchClassification,test,default,77.3,68.2,71.2,59.1,72.7,65.2,72.7,,75.8,60.6,,78.8,68.2
LearnedHandsBusinessLegalBenchClassification,test,default,80.5,75.3,80.5,85.1,78.7,72.4,85.6,,79.9,77.0,,79.9,75.3
LearnedHandsConsumerLegalBenchClassification,test,default,60.4,63.8,63.4,62.9,64.7,61.4,72.3,,71.8,64.8,,65.5,67.6
LearnedHandsCourtsLegalBenchClassification,test,default,68.2,63.5,66.1,70.3,58.9,53.6,59.4,,67.2,67.7,,56.8,59.4
LearnedHandsCrimeLegalBenchClassification,test,default,77.6,75.1,78.5,76.7,74.7,70.6,79.1,,81.7,79.8,,73.3,72.7
LearnedHandsDivorceLegalBenchClassification,test,default,82.7,81.3,82.0,77.3,76.7,72.0,82.7,,85.3,84.7,,81.3,84.7
LearnedHandsDomesticViolenceLegalBenchClassification,test,default,81.0,81.6,81.6,82.2,78.7,76.4,74.1,,79.9,78.7,,74.1,73.6
LearnedHandsEducationLegalBenchClassification,test,default,71.4,80.4,82.1,89.3,73.2,71.4,75.0,,82.1,80.4,,87.5,78.6
LearnedHandsEmploymentLegalBenchClassification,test,default,81.3,75.8,80.7,92.1,76.1,73.1,74.9,,82.3,80.7,,81.7,85.6
LearnedHandsEstatesLegalBenchClassification,test,default,89.9,83.7,84.3,84.3,75.3,74.2,86.0,,87.6,86.0,,70.8,86.0
LearnedHandsFamilyLegalBenchClassification,test,default,87.8,81.7,85.8,86.3,83.5,77.7,84.5,,85.0,85.9,,81.6,86.5
LearnedHandsHealthLegalBenchClassification,test,default,64.6,62.4,62.8,65.9,70.4,65.9,65.0,,67.3,64.2,,73.9,65.9
LearnedHandsHousingLegalBenchClassification,test,default,77.1,73.2,74.2,78.7,68.5,59.8,83.9,,79.5,81.0,,84.5,87.6
LearnedHandsImmigrationLegalBenchClassification,test,default,95.5,89.6,92.5,96.3,88.8,91.0,92.5,,93.3,92.5,,85.8,90.3
LearnedHandsTortsLegalBenchClassification,test,default,70.8,66.9,70.8,70.8,63.0,63.9,70.1,,69.0,71.1,,65.7,70.1
LearnedHandsTrafficLegalBenchClassification,test,default,75.5,85.1,82.6,72.1,84.5,84.9,74.6,,76.3,78.6,,76.1,72.7
LegalReasoningCausalityLegalBenchClassification,test,default,50.9,45.5,63.6,65.5,65.5,50.9,43.6,,56.4,43.6,,54.5,61.8
MAUDLegalBenchClassification,test,default,30.8,30.6,30.0,30.2,31.6,30.8,30.6,,,29.8,,28.9,29.2
MTOPDomainClassification,test,de,88.3,87.9,90.4,92.6,86.2,86.9,72.0,,70.5,71.9,,79.2,85.7
MTOPDomainClassification,test,en,92.7,90.9,91.8,93.9,89.0,86.1,91.9,,91.7,91.9,,87.0,89.2
MTOPDomainClassification,test,es,88.4,86.0,88.3,92.2,85.5,84.1,73.0,,73.0,71.3,,83.1,87.0
MTOPDomainClassification,test,fr,88.4,82.9,86.2,89.9,81.5,84.1,75.6,,75.1,74.9,,78.6,81.2
MTOPDomainClassification,test,hi,86.9,83.9,86.8,89.9,84.1,85.1,40.4,,40.7,39.9,,81.4,84.8
MTOPDomainClassification,test,th,83.0,83.9,86.9,87.5,83.2,81.2,16.4,,15.7,17.5,,80.0,82.5
MTOPDomainClassification,validation,de,87.9,87.0,89.5,92.1,85.8,86.0,71.5,,70.4,72.1,,79.1,85.2
MTOPDomainClassification,validation,en,91.8,90.2,91.3,93.5,89.0,85.6,92.0,,92.0,92.3,,87.8,89.8
MTOPDomainClassification,validation,es,88.7,86.3,87.9,93.1,85.9,84.4,73.7,,73.4,73.6,,83.3,87.4
MTOPDomainClassification,validation,fr,87.5,82.4,85.7,90.3,81.9,82.9,75.0,,75.6,75.0,,79.7,82.0
MTOPDomainClassification,validation,hi,86.7,81.7,84.8,89.4,82.5,83.7,38.6,,39.1,38.1,,79.7,82.5
MTOPDomainClassification,validation,th,83.6,83.9,86.7,87.7,83.7,80.9,17.0,,16.8,18.4,,80.6,82.6
MTOPIntentClassification,test,de,69.5,61.0,66.0,79.1,55.9,63.5,43.4,,45.7,44.4,,54.2,61.3
MTOPIntentClassification,test,en,69.8,61.6,64.3,82.2,56.7,63.1,62.8,,61.6,68.3,,65.5,68.7
MTOPIntentClassification,test,es,67.5,55.4,61.9,80.1,53.1,64.5,41.9,,44.2,39.5,,60.3,66.6
MTOPIntentClassification,test,fr,65.9,52.2,56.2,76.4,44.4,62.0,39.0,,39.7,37.6,,54.0,59.7
MTOPIntentClassification,test,hi,59.5,53.9,59.2,77.7,52.3,62.6,17.8,,18.7,18.6,,59.9,62.4
MTOPIntentClassification,test,th,65.1,58.7,62.6,77.6,54.6,64.7,6.1,,5.8,5.4,,62.0,64.8
MTOPIntentClassification,validation,de,68.0,60.2,64.6,78.0,54.7,62.1,43.0,,45.3,44.3,,53.8,60.5
MTOPIntentClassification,validation,en,69.8,62.6,64.6,82.7,57.6,63.5,64.2,,63.3,69.5,,66.1,69.8
MTOPIntentClassification,validation,es,69.0,58.1,62.9,80.9,55.8,66.0,43.2,,44.9,41.2,,62.0,67.0
MTOPIntentClassification,validation,fr,66.6,54.5,57.1,77.7,45.5,61.6,40.5,,41.1,39.3,,55.5,60.6
MTOPIntentClassification,validation,hi,60.0,54.2,59.2,77.6,52.0,63.1,17.5,,18.3,17.7,,58.5,61.0
MTOPIntentClassification,validation,th,63.9,58.2,61.1,76.1,54.9,63.1,5.8,,5.5,5.2,,60.2,63.7
MacedonianTweetSentimentClassification,test,default,51.1,60.6,61.9,64.8,54.3,53.6,35.4,,35.3,35.1,,62.1,63.4
MalayalamNewsClassification,test,default,54.4,72.7,76.0,89.3,72.2,73.1,41.9,,41.4,41.8,,62.9,71.3
MarathiNewsClassification,test,default,62.2,62.7,64.9,81.4,63.2,61.9,39.4,,38.8,42.2,,61.0,69.0
MasakhaNEWSClassification,test,amh,53.1,,83.7,,84.3,81.8,,,,,,64.3,78.8
MasakhaNEWSClassification,test,eng,77.6,,78.3,,75.6,77.8,,,,,,74.7,75.4
MasakhaNEWSClassification,test,fra,77.4,,76.1,,74.7,72.1,,,,,,71.7,72.9
MasakhaNEWSClassification,test,hau,74.7,,76.2,,73.1,73.1,,,,,,48.0,54.5
MasakhaNEWSClassification,test,ibo,68.6,,70.1,,63.9,69.1,,,,,,42.5,46.8
MasakhaNEWSClassification,test,lin,74.2,,75.9,,73.4,74.6,,,,,,59.3,69.8
MasakhaNEWSClassification,test,lug,72.3,,73.6,,67.9,57.4,,,,,,42.3,43.0
MasakhaNEWSClassification,test,orm,77.6,,80.3,,68.8,51.6,,,,,,35.0,42.0
MasakhaNEWSClassification,test,pcm,91.3,,89.1,,90.8,91.4,,,,,,89.5,90.2
MasakhaNEWSClassification,test,run,76.3,,76.6,,75.4,73.8,,,,,,47.2,50.0
MasakhaNEWSClassification,test,sna,86.0,,87.0,,82.8,87.2,,,,,,57.6,59.8
MasakhaNEWSClassification,test,som,63.7,,64.6,,59.8,60.0,,,,,,34.8,47.7
MasakhaNEWSClassification,test,swa,73.4,,73.4,,69.9,69.3,,,,,,46.1,60.4
MasakhaNEWSClassification,test,tir,34.4,,72.1,,68.0,61.7,,,,,,27.9,45.0
MasakhaNEWSClassification,test,xho,83.3,,82.6,,72.2,77.3,,,,,,44.8,48.8
MasakhaNEWSClassification,test,yor,80.9,,81.1,,73.8,77.1,,,,,,52.9,58.3
MassiveIntentClassification,test,af,59.5,,,,48.7,,,,37.5,36.5,,,52.3
MassiveIntentClassification,test,am,34.7,,,,43.5,,,,2.6,2.4,,,41.6
MassiveIntentClassification,test,ar,54.5,,,,47.8,,,,19.0,20.4,,,51.4
MassiveIntentClassification,test,az,56.2,,,,49.3,,,,30.6,28.9,,,57.0
MassiveIntentClassification,test,bn,52.6,,,,50.7,,,,13.1,12.4,,,48.8
MassiveIntentClassification,test,cy,48.6,,,,36.6,,,,34.5,30.8,,,27.9
MassiveIntentClassification,test,da,65.4,,,,56.1,,,,41.0,42.4,,,62.8
MassiveIntentClassification,test,de,67.7,,,,55.5,,,,43.4,44.5,,,59.6
MassiveIntentClassification,test,el,60.5,,,,54.1,,,,24.2,24.5,,,62.6
MassiveIntentClassification,test,en,71.5,,,,63.9,,,,66.9,69.8,,,69.3
MassiveIntentClassification,test,es,66.5,,,,59.2,,,,39.9,39.7,,,64.4
MassiveIntentClassification,test,fa,66.0,,,,57.7,,,,19.1,22.5,,,65.3
MassiveIntentClassification,test,fi,60.6,,,,55.1,,,,38.4,34.6,,,62.3
MassiveIntentClassification,test,fr,67.7,,,,57.9,,,,42.5,44.3,,,64.8
MassiveIntentClassification,test,he,57.7,,,,51.1,,,,22.5,23.6,,,58.2
MassiveIntentClassification,test,hi,61.2,,,,55.7,,,,17.7,17.7,,,62.8
MassiveIntentClassification,test,hu,63.5,,,,53.2,,,,35.7,34.4,,,63.9
MassiveIntentClassification,test,hy,43.1,,,,47.9,,,,7.6,10.1,,,57.8
MassiveIntentClassification,test,id,65.6,,,,56.2,,,,39.0,36.3,,,65.4
MassiveIntentClassification,test,is,52.0,,,,41.5,,,,29.9,31.5,,,37.1
MassiveIntentClassification,test,it,68.0,,,,58.8,,,,41.6,40.3,,,64.7
MassiveIntentClassification,test,ja,68.6,,,,61.6,,,,31.9,33.1,,,63.8
MassiveIntentClassification,test,jv,50.2,,,,43.0,,,,35.9,31.7,,,36.5
MassiveIntentClassification,test,ka,42.0,,,,39.5,,,,9.1,7.7,,,49.9
MassiveIntentClassification,test,km,38.9,,,,33.4,,,,4.9,4.7,,,45.5
MassiveIntentClassification,test,kn,44.5,,,,47.9,,,,3.1,3.8,,,50.6
MassiveIntentClassification,test,ko,65.7,,,,57.1,,,,16.0,13.3,,,61.8
MassiveIntentClassification,test,lv,51.1,,,,44.9,,,,37.0,35.1,,,61.3
MassiveIntentClassification,test,ml,43.6,,,,52.8,,,,2.9,2.6,,,54.3
MassiveIntentClassification,test,mn,40.8,,,,47.4,,,,20.3,19.6,,,56.6
MassiveIntentClassification,test,ms,62.6,,,,50.8,,,,35.1,30.5,,,60.7
MassiveIntentClassification,test,my,36.9,,,,45.6,,,,4.2,4.6,,,57.1
MassiveIntentClassification,test,nb,63.6,,,,55.4,,,,39.4,39.3,,,62.6
MassiveIntentClassification,test,nl,66.8,,,,59.3,,,,40.2,38.5,,,63.6
MassiveIntentClassification,test,pl,68.0,,,,57.3,,,,36.1,34.3,,,64.3
MassiveIntentClassification,test,pt,67.8,,,,60.1,,,,43.8,42.8,,,64.9
MassiveIntentClassification,test,ro,62.4,,,,52.8,,,,40.5,38.1,,,62.8
MassiveIntentClassification,test,ru,69.4,,,,58.4,,,,27.6,24.0,,,63.2
MassiveIntentClassification,test,sl,63.1,,,,47.7,,,,36.7,34.5,,,63.5
MassiveIntentClassification,test,sq,51.0,,,,48.7,,,,40.7,37.3,,,62.5
MassiveIntentClassification,test,sv,67.7,,,,58.2,,,,38.1,39.0,,,64.7
MassiveIntentClassification,test,sw,50.1,,,,44.8,,,,35.0,31.8,,,31.9
MassiveIntentClassification,test,ta,43.5,,,,47.6,,,,11.3,9.2,,,50.2
MassiveIntentClassification,test,te,44.7,,,,48.9,,,,2.5,2.3,,,52.9
MassiveIntentClassification,test,th,59.0,,,,56.3,,,,11.3,8.5,,,61.1
MassiveIntentClassification,test,tl,61.8,,,,48.7,,,,37.9,36.3,,,38.8
MassiveIntentClassification,test,tr,65.3,,,,56.9,,,,33.8,32.0,,,64.6
MassiveIntentClassification,test,ur,54.1,,,,50.5,,,,14.4,12.9,,,56.4
MassiveIntentClassification,test,vi,62.1,,,,56.2,,,,37.1,31.5,,,59.7
MassiveIntentClassification,test,zh-CN,67.4,,,,62.0,,,,24.4,24.4,,,65.3
MassiveIntentClassification,test,zh-TW,62.1,,,,53.8,,,,22.6,22.4,,,62.3
MassiveIntentClassification,validation,af,59.8,,,,49.1,,,,36.5,37.4,,,52.3
MassiveIntentClassification,validation,am,34.2,,,,43.9,,,,2.4,2.2,,,42.4
MassiveIntentClassification,validation,ar,54.9,,,,47.8,,,,18.0,19.8,,,52.2
MassiveIntentClassification,validation,az,56.6,,,,49.0,,,,28.7,28.6,,,57.4
MassiveIntentClassification,validation,bn,52.6,,,,50.7,,,,12.1,11.8,,,50.0
MassiveIntentClassification,validation,cy,48.4,,,,35.9,,,,33.7,30.4,,,27.3
MassiveIntentClassification,validation,da,65.6,,,,56.6,,,,39.7,40.5,,,63.1
MassiveIntentClassification,validation,de,68.1,,,,55.2,,,,42.2,42.9,,,59.9
MassiveIntentClassification,validation,el,61.3,,,,54.8,,,,22.5,23.5,,,63.3
MassiveIntentClassification,validation,en,71.8,,,,64.6,,,,67.9,70.6,,,70.8
MassiveIntentClassification,validation,es,67.3,,,,60.2,,,,40.6,39.5,,,64.7
MassiveIntentClassification,validation,fa,65.9,,,,59.0,,,,19.7,22.9,,,66.0
MassiveIntentClassification,validation,fi,60.3,,,,54.5,,,,37.0,33.5,,,62.0
MassiveIntentClassification,validation,fr,68.7,,,,58.3,,,,41.9,43.6,,,65.6
MassiveIntentClassification,validation,he,57.6,,,,51.7,,,,20.6,22.0,,,59.5
MassiveIntentClassification,validation,hi,61.2,,,,55.9,,,,17.6,16.3,,,62.9
MassiveIntentClassification,validation,hu,63.3,,,,52.8,,,,33.8,33.2,,,64.4
MassiveIntentClassification,validation,hy,44.0,,,,48.3,,,,7.1,9.2,,,59.4
MassiveIntentClassification,validation,id,66.1,,,,56.3,,,,38.6,36.3,,,66.3
MassiveIntentClassification,validation,is,52.9,,,,40.8,,,,29.5,31.5,,,37.2
MassiveIntentClassification,validation,it,68.3,,,,59.1,,,,40.8,39.5,,,66.2
MassiveIntentClassification,validation,ja,69.3,,,,61.7,,,,30.5,31.8,,,64.8
MassiveIntentClassification,validation,jv,50.0,,,,43.1,,,,35.6,31.0,,,37.1
MassiveIntentClassification,validation,ka,41.8,,,,38.5,,,,8.6,7.3,,,49.1
MassiveIntentClassification,validation,km,37.9,,,,32.6,,,,4.5,4.4,,,45.0
MassiveIntentClassification,validation,kn,44.5,,,,47.9,,,,3.4,4.0,,,52.3
MassiveIntentClassification,validation,ko,66.6,,,,58.5,,,,16.1,13.4,,,63.1
MassiveIntentClassification,validation,lv,51.3,,,,44.5,,,,36.2,34.0,,,61.2
MassiveIntentClassification,validation,ml,42.2,,,,52.9,,,,2.5,2.5,,,55.2
MassiveIntentClassification,validation,mn,40.2,,,,47.3,,,,18.9,18.2,,,57.0
MassiveIntentClassification,validation,ms,62.2,,,,51.2,,,,34.1,29.4,,,61.6
MassiveIntentClassification,validation,my,36.5,,,,45.4,,,,4.5,5.0,,,58.7
MassiveIntentClassification,validation,nb,64.0,,,,54.9,,,,38.2,38.5,,,63.0
MassiveIntentClassification,validation,nl,67.4,,,,58.9,,,,38.2,37.0,,,63.7
MassiveIntentClassification,validation,pl,68.3,,,,57.6,,,,35.0,33.4,,,65.2
MassiveIntentClassification,validation,pt,66.9,,,,60.4,,,,42.6,41.7,,,65.8
MassiveIntentClassification,validation,ro,62.4,,,,52.7,,,,39.3,36.6,,,63.1
MassiveIntentClassification,validation,ru,69.2,,,,58.7,,,,27.1,23.3,,,64.4
MassiveIntentClassification,validation,sl,63.2,,,,47.5,,,,36.5,34.4,,,63.3
MassiveIntentClassification,validation,sq,51.1,,,,49.6,,,,40.2,36.0,,,64.0
MassiveIntentClassification,validation,sv,67.5,,,,57.6,,,,38.0,38.2,,,64.6
MassiveIntentClassification,validation,sw,49.5,,,,44.1,,,,33.9,30.3,,,30.9
MassiveIntentClassification,validation,ta,43.0,,,,48.1,,,,11.4,8.4,,,51.4
MassiveIntentClassification,validation,te,45.1,,,,47.8,,,,2.2,2.1,,,52.3
MassiveIntentClassification,validation,th,59.1,,,,56.6,,,,10.3,7.8,,,62.2
MassiveIntentClassification,validation,tl,62.2,,,,49.2,,,,38.1,35.0,,,38.3
MassiveIntentClassification,validation,tr,65.5,,,,56.7,,,,33.1,30.2,,,65.6
MassiveIntentClassification,validation,ur,54.5,,,,50.3,,,,15.1,13.4,,,56.9
MassiveIntentClassification,validation,vi,62.0,,,,55.1,,,,37.4,32.2,,,59.8
MassiveIntentClassification,validation,zh-CN,68.0,,,,62.7,,,,25.9,25.6,,,66.4
MassiveIntentClassification,validation,zh-TW,62.4,,,,54.1,,,,24.1,23.7,,,63.0
MassiveScenarioClassification,test,af,67.3,,,,58.0,,,,43.9,43.6,,,59.7
MassiveScenarioClassification,test,am,42.0,,,,50.5,,,,7.6,7.4,,,49.0
MassiveScenarioClassification,test,ar,61.5,,,,54.6,,,,26.0,27.8,,,57.8
MassiveScenarioClassification,test,az,61.7,,,,53.3,,,,35.6,36.4,,,61.5
MassiveScenarioClassification,test,bn,58.8,,,,57.4,,,,20.6,17.5,,,54.5
MassiveScenarioClassification,test,cy,57.4,,,,44.6,,,,39.0,34.8,,,35.3
MassiveScenarioClassification,test,da,71.5,,,,64.0,,,,47.0,49.5,,,71.0
MassiveScenarioClassification,test,de,73.6,,,,65.9,,,,51.5,54.1,,,67.3
MassiveScenarioClassification,test,el,67.4,,,,62.3,,,,31.3,33.9,,,68.8
MassiveScenarioClassification,test,en,73.9,,,,69.3,,,,73.8,75.7,,,75.3
MassiveScenarioClassification,test,es,71.1,,,,64.4,,,,49.0,50.9,,,70.4
MassiveScenarioClassification,test,fa,70.5,,,,63.3,,,,24.0,27.8,,,69.9
MassiveScenarioClassification,test,fi,65.9,,,,61.9,,,,42.4,38.4,,,67.6
MassiveScenarioClassification,test,fr,70.8,,,,63.9,,,,51.1,54.3,,,70.7
MassiveScenarioClassification,test,he,63.3,,,,59.2,,,,24.0,25.5,,,65.2
MassiveScenarioClassification,test,hi,66.2,,,,62.2,,,,23.7,23.1,,,67.9
MassiveScenarioClassification,test,hu,69.7,,,,61.9,,,,41.6,41.0,,,70.3
MassiveScenarioClassification,test,hy,49.3,,,,52.9,,,,13.0,16.9,,,63.0
MassiveScenarioClassification,test,id,72.4,,,,62.0,,,,43.5,43.0,,,70.7
MassiveScenarioClassification,test,is,61.6,,,,49.7,,,,36.1,39.4,,,44.2
MassiveScenarioClassification,test,it,71.9,,,,64.0,,,,49.8,51.4,,,69.7
MassiveScenarioClassification,test,ja,72.8,,,,67.8,,,,37.3,40.6,,,69.7
MassiveScenarioClassification,test,jv,58.2,,,,51.4,,,,43.6,40.0,,,44.2
MassiveScenarioClassification,test,ka,49.3,,,,45.0,,,,14.9,13.4,,,57.3
MassiveScenarioClassification,test,km,45.5,,,,39.0,,,,9.2,9.6,,,53.1
MassiveScenarioClassification,test,kn,49.5,,,,52.7,,,,7.8,8.3,,,56.1
MassiveScenarioClassification,test,ko,70.8,,,,65.7,,,,20.3,17.3,,,68.5
MassiveScenarioClassification,test,lv,57.3,,,,51.0,,,,40.4,39.3,,,66.3
MassiveScenarioClassification,test,ml,48.5,,,,60.3,,,,7.7,7.7,,,60.1
MassiveScenarioClassification,test,mn,46.6,,,,52.4,,,,25.5,25.6,,,60.8
MassiveScenarioClassification,test,ms,69.7,,,,59.2,,,,43.7,37.3,,,65.8
MassiveScenarioClassification,test,my,44.2,,,,51.1,,,,10.6,10.8,,,63.0
MassiveScenarioClassification,test,nb,69.7,,,,62.0,,,,44.7,45.7,,,70.2
MassiveScenarioClassification,test,nl,72.5,,,,67.0,,,,48.4,47.8,,,70.4
MassiveScenarioClassification,test,pl,71.9,,,,64.3,,,,43.8,42.7,,,69.0
MassiveScenarioClassification,test,pt,71.0,,,,62.8,,,,50.7,52.1,,,70.1
MassiveScenarioClassification,test,ro,68.5,,,,60.0,,,,48.2,47.9,,,67.9
MassiveScenarioClassification,test,ru,73.9,,,,63.9,,,,30.5,28.7,,,69.9
MassiveScenarioClassification,test,sl,70.2,,,,54.0,,,,41.9,39.9,,,70.8
MassiveScenarioClassification,test,sq,57.5,,,,56.1,,,,47.2,44.7,,,69.6
MassiveScenarioClassification,test,sv,73.2,,,,67.3,,,,42.9,44.5,,,71.6
MassiveScenarioClassification,test,sw,58.9,,,,52.4,,,,43.3,40.3,,,37.3
MassiveScenarioClassification,test,ta,50.9,,,,52.7,,,,17.4,14.6,,,56.0
MassiveScenarioClassification,test,te,50.8,,,,54.9,,,,7.9,7.8,,,58.8
MassiveScenarioClassification,test,th,64.5,,,,65.7,,,,19.5,17.0,,,69.4
MassiveScenarioClassification,test,tl,69.0,,,,55.3,,,,45.7,47.0,,,44.0
MassiveScenarioClassification,test,tr,68.7,,,,62.1,,,,38.9,39.1,,,70.4
MassiveScenarioClassification,test,ur,62.5,,,,55.9,,,,23.7,20.0,,,62.9
MassiveScenarioClassification,test,vi,69.2,,,,62.7,,,,40.5,35.9,,,65.7
MassiveScenarioClassification,test,zh-CN,71.9,,,,69.0,,,,33.6,35.3,,,71.2
MassiveScenarioClassification,test,zh-TW,67.7,,,,61.1,,,,31.2,31.7,,,68.7
MassiveScenarioClassification,validation,af,66.9,,,,58.2,,,,43.6,44.0,,,59.7
MassiveScenarioClassification,validation,am,41.7,,,,50.2,,,,7.4,7.5,,,48.8
MassiveScenarioClassification,validation,ar,60.8,,,,54.8,,,,24.4,26.7,,,57.6
MassiveScenarioClassification,validation,az,61.5,,,,53.2,,,,35.1,35.9,,,62.3
MassiveScenarioClassification,validation,bn,58.2,,,,57.2,,,,19.8,16.8,,,56.1
MassiveScenarioClassification,validation,cy,57.2,,,,43.6,,,,38.8,34.6,,,32.9
MassiveScenarioClassification,validation,da,70.2,,,,63.5,,,,44.7,47.4,,,71.0
MassiveScenarioClassification,validation,de,72.6,,,,64.6,,,,50.0,52.3,,,66.7
MassiveScenarioClassification,validation,el,67.1,,,,62.2,,,,29.3,31.4,,,69.1
MassiveScenarioClassification,validation,en,72.8,,,,69.5,,,,73.9,75.9,,,76.3
MassiveScenarioClassification,validation,es,70.7,,,,65.1,,,,49.3,50.9,,,70.6
MassiveScenarioClassification,validation,fa,69.7,,,,63.6,,,,22.9,27.9,,,70.5
MassiveScenarioClassification,validation,fi,65.4,,,,61.4,,,,40.7,37.8,,,68.0
MassiveScenarioClassification,validation,fr,70.7,,,,63.4,,,,50.6,53.9,,,71.2
MassiveScenarioClassification,validation,he,63.4,,,,59.0,,,,23.9,25.1,,,66.5
MassiveScenarioClassification,validation,hi,65.7,,,,61.8,,,,23.1,22.0,,,69.3
MassiveScenarioClassification,validation,hu,69.3,,,,61.1,,,,39.3,39.5,,,70.1
MassiveScenarioClassification,validation,hy,49.0,,,,53.2,,,,12.4,16.1,,,63.7
MassiveScenarioClassification,validation,id,71.9,,,,62.4,,,,43.0,42.8,,,71.4
MassiveScenarioClassification,validation,is,60.7,,,,48.2,,,,35.2,39.4,,,44.6
MassiveScenarioClassification,validation,it,71.4,,,,64.1,,,,49.4,51.0,,,70.4
MassiveScenarioClassification,validation,ja,72.9,,,,67.3,,,,37.6,41.4,,,70.3
MassiveScenarioClassification,validation,jv,58.2,,,,50.9,,,,42.8,39.0,,,44.9
MassiveScenarioClassification,validation,ka,48.2,,,,44.7,,,,14.1,13.1,,,57.2
MassiveScenarioClassification,validation,km,44.6,,,,38.4,,,,8.8,9.1,,,52.6
MassiveScenarioClassification,validation,kn,49.3,,,,52.4,,,,8.4,8.7,,,57.4
MassiveScenarioClassification,validation,ko,71.3,,,,65.6,,,,20.6,18.2,,,68.9
MassiveScenarioClassification,validation,lv,57.1,,,,50.9,,,,40.2,38.7,,,66.5
MassiveScenarioClassification,validation,ml,46.8,,,,59.3,,,,7.5,7.6,,,60.0
MassiveScenarioClassification,validation,mn,46.2,,,,52.5,,,,24.1,24.7,,,61.8
MassiveScenarioClassification,validation,ms,69.0,,,,60.1,,,,42.4,37.3,,,67.4
MassiveScenarioClassification,validation,my,43.4,,,,50.6,,,,11.2,11.5,,,63.3
