task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
AFQMC,validation,default,32.7,29.7,33.0,38.6,25.2,21.0,7.9,8.6,8.0,14.3,15.7
ATEC,test,default,37.3,37.0,39.8,43.5,35.1,26.6,13.0,13.5,14.0,18.4,20.3
ATEC,validation,default,37.2,37.0,39.8,43.8,34.6,25.8,11.6,12.2,12.7,18.0,20.5
Assin2STS,test,default,78.8,70.5,77.7,80.2,73.3,64.8,56.8,56.4,56.3,71.5,74.4
BIOSSES,test,default,85.0,85.1,82.5,85.6,82.5,78.7,83.6,81.6,80.4,74.2,76.3
BQ,test,default,38.0,45.4,46.4,51.0,43.3,42.6,23.3,23.8,21.4,38.5,36.3
BQ,validation,default,42.4,49.9,50.6,54.6,47.8,46.8,24.0,24.6,24.1,42.7,40.6
CDSC-R,test,default,92.2,90.1,91.0,92.0,90.3,85.5,82.5,79.4,77.0,89.0,88.8
FaroeseSTS,train,default,66.9,66.3,72.4,80.2,68.8,55.2,66.1,58.2,61.8,47.3,53.3
FinParaSTS,test,default,20.5,23.4,28.0,29.4,16.0,26.2,10.7,10.1,9.8,23.7,25.5
FinParaSTS,validation,default,22.6,22.0,25.3,29.1,19.2,23.5,10.7,10.6,9.3,22.7,25.5
GermanSTSBenchmark,test,default,76.0,78.9,83.6,83.9,78.4,71.9,62.9,60.6,61.3,79.1,83.4
GermanSTSBenchmark,validation,default,79.3,83.8,86.9,84.8,84.2,74.8,70.3,67.3,68.0,82.3,85.4
IndicCrosslingualSTS,test,en-as,17.5,32.1,39.7,57.3,34.4,38.7,-17.5,-18.9,-1.7,-6.0,23.5
IndicCrosslingualSTS,test,en-bn,32.9,44.6,42.4,54.5,41.3,58.3,-6.4,-15.4,-12.2,19.8,35.5
IndicCrosslingualSTS,test,en-gu,23.5,43.6,47.7,57.3,40.7,65.5,2.9,5.3,0.5,30.0,42.3
IndicCrosslingualSTS,test,en-hi,36.7,58.8,60.6,68.9,60.0,68.7,-8.4,-8.1,-8.3,53.8,59.0
IndicCrosslingualSTS,test,en-kn,19.2,51.6,53.6,68.8,50.0,65.0,-3.3,-6.4,-4.8,10.7,35.6
IndicCrosslingualSTS,test,en-ml,32.6,57.7,60.9,64.1,54.9,64.5,10.0,8.1,10.2,30.1,38.3
IndicCrosslingualSTS,test,en-mr,31.8,51.0,51.5,60.7,49.5,54.9,-4.2,-6.5,3.1,43.9,49.1
IndicCrosslingualSTS,test,en-or,11.2,11.2,12.8,10.4,17.0,10.4,-6.2,-4.9,2.4,8.3,21.4
IndicCrosslingualSTS,test,en-pa,16.1,46.1,54.4,59.6,45.9,63.5,-9.0,-0.6,-4.8,12.1,30.1
IndicCrosslingualSTS,test,en-ta,26.2,40.9,43.3,58.4,39.7,64.8,-18.1,-21.0,-14.2,8.3,33.1
IndicCrosslingualSTS,test,en-te,20.0,35.4,40.8,40.3,33.3,55.3,-1.5,0.2,7.3,24.5,34.4
IndicCrosslingualSTS,test,en-ur,17.7,20.4,18.7,20.5,22.5,23.5,-2.3,-7.0,-7.6,2.0,6.8
JSICK,test,default,82.5,81.2,79.8,80.3,81.9,77.0,71.8,71.3,71.3,69.2,64.7
JSTS,validation,default,81.7,79.6,81.9,83.5,78.9,76.1,62.0,62.6,62.8,77.8,79.5
KLUE-STS,validation,default,75.6,78.0,83.4,89.2,75.8,82.8,31.3,22.4,24.6,65.9,79.9
KorSTS,test,default,76.0,77.8,80.5,82.3,77.1,70.6,41.1,42.3,37.3,74.4,82.0
LCQMC,test,default,71.4,74.1,75.9,75.1,72.7,52.2,21.0,23.9,22.8,64.0,63.3
PAWSX,test,default,,,,,,,,7.2,6.4,,
RUParaPhraserSTS,test,default,71.1,70.2,71.8,76.6,70.5,65.7,45.5,43.9,42.2,61.9,65.7
RonSTS,test,default,76.5,79.6,83.8,83.8,77.8,71.6,64.5,63.0,60.5,79.6,83.6
RuSTSBenchmarkSTS,test,default,76.3,79.6,83.1,,78.1,73.3,56.3,55.6,55.7,79.5,82.5
SICK-R,test,default,81.5,78.5,80.2,81.1,77.5,70.0,,77.6,80.6,79.6,79.6
SICK-R-PL,test,default,72.8,71.2,75.1,78.2,69.5,65.9,54.3,52.4,50.2,68.8,73.1
SICKFr,test,default,76.9,75.8,78.8,79.2,74.7,69.9,63.2,62.5,67.1,75.1,75.6
SICKFr,validation,default,77.4,75.8,79.5,79.7,73.5,69.4,64.2,62.8,67.3,74.4,75.6
STS12,test,default,65.8,76.7,80.0,81.6,76.6,65.1,73.1,72.4,72.6,76.0,77.9
STS13,test,default,78.4,78.0,81.6,86.3,77.0,68.0,,80.6,83.5,80.7,85.1
STS14,test,default,77.5,76.6,77.7,83.9,75.5,64.0,76.7,75.6,78.0,78.9,80.8
STS15,test,default,85.4,88.2,89.3,89.6,87.1,76.6,85.6,85.4,85.7,85.8,87.5
STS16,test,default,79.9,84.3,85.8,84.9,83.6,73.0,80.2,79.0,80.0,81.0,83.2
STS17,test,ar-ar,,,,,73.0,69.1,,50.9,,,
STS17,test,en-ar,,,,,57.4,74.5,,-4.3,,,
STS17,test,en-de,,,,,76.8,73.8,,35.8,,,
STS17,test,en-en,,,,,86.4,79.4,,87.6,,,
STS17,test,en-tr,,,,,55.9,72.1,,4.5,,,
STS17,test,es-en,,,,,72.4,65.7,,16.3,,,
STS17,test,es-es,,,,,84.8,80.8,,76.1,,,
STS17,test,fr-en,,,,,72.3,77.0,,37.1,,,
STS17,test,it-en,,,,,77.3,77.0,,24.4,,,
STS17,test,ko-ko,,,,,78.9,71.3,,43.4,,,
STS17,test,nl-en,,,,,75.4,75.2,,29.0,,,
STS22,test,ar,,,,,56.7,57.7,,22.6,,,
STS22,test,de,,,,,53.4,48.6,,31.0,,,
STS22,test,de-en,,,,,56.1,50.1,,44.0,,,
STS22,test,de-fr,,,,,60.6,53.3,,30.1,,,
STS22,test,de-pl,,,,,28.2,58.7,,-4.9,,,
STS22,test,en,,,,,61.3,61.6,,67.7,,,
STS22,test,es,,,,,66.9,63.2,,54.8,,,
STS22,test,es-en,,,,,74.2,71.9,,53.4,,,
STS22,test,es-it,,,,,71.7,69.7,,44.3,,,
STS22,test,fr,,,,,76.6,78.0,,77.0,,,
STS22,test,fr-pl,,,,,84.5,62.0,,50.7,,,
STS22,test,it,,,,,76.5,72.2,,60.4,,,
STS22,test,pl,,,,,35.8,39.3,,26.8,,,
STS22,test,pl-en,,,,,72.7,69.4,,32.8,,,
STS22,test,ru,,,,,59.9,57.5,,14.7,,,
STS22,test,tr,,,,,63.7,58.1,,33.7,,,
STS22,test,zh,,,,,66.9,63.0,,44.9,,,
STS22,test,zh-en,,,,,65.3,64.0,,41.6,,,
STSB,test,default,74.1,79.0,81.1,80.2,77.7,68.4,36.7,37.8,37.7,78.9,80.8
STSB,validation,default,77.9,82.3,83.6,82.8,82.1,71.5,47.1,46.3,47.5,82.6,84.1
STSBenchmark,test,default,83.1,85.6,87.3,87.0,84.1,72.3,83.1,82.0,83.4,84.4,86.8
STSBenchmarkMultilingualSTS,dev,de,80.3,84.8,87.5,85.4,85.0,75.9,72.5,70.3,69.7,83.1,86.1
STSBenchmarkMultilingualSTS,dev,en,85.1,87.9,88.8,88.1,87.5,74.1,87.5,86.7,88.1,87.5,89.1
STSBenchmarkMultilingualSTS,dev,es,80.4,85.1,86.2,85.9,84.4,74.1,72.1,69.8,71.0,84.0,86.3
STSBenchmarkMultilingualSTS,dev,fr,80.0,83.3,85.1,85.6,83.1,76.1,74.0,72.1,73.2,83.6,86.0
STSBenchmarkMultilingualSTS,dev,it,79.5,83.0,84.3,84.9,83.8,73.8,70.2,68.2,69.4,83.9,86.2
STSBenchmarkMultilingualSTS,dev,nl,79.9,83.3,86.6,85.2,82.8,73.9,70.3,66.9,64.5,83.4,86.2
STSBenchmarkMultilingualSTS,dev,pl,79.0,81.0,85.4,84.4,79.8,75.1,66.2,63.1,61.0,83.0,85.5
STSBenchmarkMultilingualSTS,dev,pt,79.4,69.9,74.5,85.2,82.4,74.2,69.4,68.9,70.4,84.1,86.2
STSBenchmarkMultilingualSTS,dev,ru,79.7,83.6,86.1,85.1,82.9,75.6,63.8,62.0,60.8,83.8,85.3
STSBenchmarkMultilingualSTS,dev,zh,79.0,82.9,84.5,84.8,82.9,73.6,49.2,48.7,51.6,84.1,85.1
STSBenchmarkMultilingualSTS,test,de,77.6,79.7,84.3,84.3,79.2,72.4,63.3,62.4,61.4,78.9,83.6
STSBenchmarkMultilingualSTS,test,en,83.1,85.6,87.3,87.0,84.1,72.3,83.1,82.0,83.4,84.4,86.8
STSBenchmarkMultilingualSTS,test,es,79.5,81.8,83.8,85.9,80.3,72.9,65.3,61.6,65.8,81.1,84.6
STSBenchmarkMultilingualSTS,test,fr,77.5,80.9,83.3,84.1,79.2,75.1,66.7,64.9,65.1,79.9,84.7
STSBenchmarkMultilingualSTS,test,it,76.2,78.1,81.8,84.2,78.2,73.0,60.7,59.2,62.7,80.4,84.1
STSBenchmarkMultilingualSTS,test,nl,74.8,76.0,81.6,83.6,76.0,70.2,60.0,55.5,57.0,79.5,83.4
STSBenchmarkMultilingualSTS,test,pl,74.7,74.9,81.1,83.0,72.6,72.6,60.2,56.4,52.4,78.3,81.5
STSBenchmarkMultilingualSTS,test,pt,76.6,67.2,73.3,84.4,77.4,71.7,63.9,61.6,62.1,80.2,84.0
STSBenchmarkMultilingualSTS,test,ru,76.2,79.3,83.1,83.3,78.2,73.1,56.1,55.6,55.5,79.3,82.5
STSBenchmarkMultilingualSTS,test,zh,75.3,79.9,81.2,81.5,78.5,69.5,38.9,39.7,39.4,80.5,82.0
STSES,test,default,76.3,81.6,80.2,77.7,78.9,76.9,72.7,64.3,66.9,73.0,72.8
SemRel24STS,dev,afr,,,,,,,,,,71.7,
SemRel24STS,dev,amh,,,,,,,,,,37.9,
SemRel24STS,dev,arb,,,,,,,,,,60.9,
SemRel24STS,dev,arq,,,,,,,,,,21.9,
SemRel24STS,dev,ary,,,,,,,,,,19.1,
SemRel24STS,dev,eng,,,,,,,,,,79.4,
SemRel24STS,dev,hau,,,,,,,,,,13.3,
SemRel24STS,dev,hin,,,,,,,,,,74.7,
SemRel24STS,dev,ind,,,,,,,,,,33.3,
SemRel24STS,dev,kin,,,,,,,,,,21.8,
SemRel24STS,dev,mar,,,,,,,,,,67.6,
SemRel24STS,dev,tel,,,,,,,,,,37.8,
SemRel24STS,test,afr,80.6,,81.0,,78.8,75.9,74.1,71.6,70.0,74.8,76.5
SemRel24STS,test,amh,73.4,,73.9,,76.3,78.5,9.7,3.7,13.6,41.2,73.1
SemRel24STS,test,arb,60.7,,55.2,,50.8,54.6,16.1,20.2,25.2,60.1,56.8
SemRel24STS,test,arq,34.3,,47.5,,45.5,40.0,35.4,33.4,35.3,24.7,26.7
SemRel24STS,test,ary,40.2,,47.0,,45.4,37.6,13.5,39.7,10.1,32.8,35.4
SemRel24STS,test,eng,79.4,,80.1,,79.7,81.8,81.5,81.9,80.9,80.6,80.5
SemRel24STS,test,hau,52.8,,46.1,,35.4,47.7,32.7,35.8,31.9,16.9,31.8
SemRel24STS,test,hin,76.3,,75.0,,72.5,70.9,43.8,44.0,43.7,68.5,74.6
SemRel24STS,test,ind,53.9,,41.6,,44.4,52.8,39.0,40.7,41.9,41.7,37.5
SemRel24STS,test,kin,47.6,,51.3,,42.0,45.3,35.0,40.4,34.4,25.9,36.2
SemRel24STS,test,mar,77.0,,76.9,,77.5,81.8,39.5,53.2,35.7,67.4,75.1
SemRel24STS,test,tel,78.7,,76.4,,75.8,80.2,34.9,34.5,33.4,39.2,60.7
