model_name,status,citation
Snowflake/snowflake-arctic-embed-l,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-l-v2.0,already_present,"@article{yu2024arctic,
      title={Arctic-Embed 2.0: Multilingual Retrieval Without Compromise},
  ..."
Snowflake/snowflake-arctic-embed-m,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-m-long,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-m-v1.5,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-m-v2.0,already_present,"@article{yu2024arctic,
      title={Arctic-Embed 2.0: Multilingual Retrieval Without Compromise},
  ..."
Snowflake/snowflake-arctic-embed-s,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
Snowflake/snowflake-arctic-embed-xs,already_present,"@article{merrick2024embedding,
      title={Embedding And Clustering Your Data Can Improve Contrasti..."
bm25s,already_present,"@misc{bm25s,
      title={BM25S: Orders of magnitude faster lexical search via eager sparse scoring}..."
Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2,already_present,"
    @article{nacar2025gate,
    title={GATE: General Arabic Text Embedding for Enhanced Semantic Te..."
Kingsoft-LLM/QZhou-Embedding,already_present,"@misc{yu2025qzhouembeddingtechnicalreport,
      title={QZhou-Embedding Technical Report},
      aut..."
Kingsoft-LLM/QZhou-Embedding-Zh,already_present,"@misc{yu2025qzhouembeddingtechnicalreport,
      title={QZhou-Embedding Technical Report},
      aut..."
samaya-ai/promptriever-llama2-7b-v1,already_present,"
@article{weller2024promptriever,
      title={Promptriever: Instruction-Trained Retrievers Can Be P..."
samaya-ai/promptriever-llama3.1-8b-v1,already_present,"
@article{weller2024promptriever,
      title={Promptriever: Instruction-Trained Retrievers Can Be P..."
samaya-ai/promptriever-llama3.1-8b-instruct-v1,already_present,"
@article{weller2024promptriever,
      title={Promptriever: Instruction-Trained Retrievers Can Be P..."
samaya-ai/promptriever-mistral-v0.1-7b-v1,already_present,"
@article{weller2024promptriever,
      title={Promptriever: Instruction-Trained Retrievers Can Be P..."
sbintuitions/sarashina-embedding-v1-1b,already_present,
sbintuitions/sarashina-embedding-v2-1b,already_present,
vidore/colpali-v1.1,already_present,"
@misc{faysse2024colpali,
  title={ColPali: Efficient Document Retrieval with Vision Language Models..."
vidore/colpali-v1.2,already_present,"
@misc{faysse2024colpali,
  title={ColPali: Efficient Document Retrieval with Vision Language Models..."
vidore/colpali-v1.3,already_present,"
@misc{faysse2024colpali,
  title={ColPali: Efficient Document Retrieval with Vision Language Models..."
voyageai/voyage-multimodal-3,citation_not_found,
eagerworks/eager-embed-v1,already_present,"@article{EagerEmbed,
  title={Eager Embed V1: Multimodal Dense Embeddings for Retrieval},
  author={..."
Bytedance/Seed1.6-embedding,repo_not_found,
microsoft/LLM2CLIP-Openai-B-16,already_present,"@misc{huang2024llm2clippowerfullanguagemodel,
  title={LLM2CLIP: Powerful Language Model Unlock Rich..."
microsoft/LLM2CLIP-Openai-L-14-224,already_present,"@misc{huang2024llm2clippowerfullanguagemodel,
  title={LLM2CLIP: Powerful Language Model Unlock Rich..."
microsoft/LLM2CLIP-Openai-L-14-336,already_present,"@misc{huang2024llm2clippowerfullanguagemodel,
  title={LLM2CLIP: Powerful Language Model Unlock Rich..."
FacebookAI/xlm-roberta-base,added,"@article{DBLP:journals/corr/abs-1911-02116,
  author    = {Alexis Conneau and
               Kartika..."
FacebookAI/xlm-roberta-large,added,"@article{DBLP:journals/corr/abs-1911-02116,
  author    = {Alexis Conneau and
               Kartika..."
codefuse-ai/F2LLM-0.6B,already_present,"@article{2025F2LLM,
    title={F2LLM Technical Report: Matching SOTA Embedding Performance with 6 Mi..."
codefuse-ai/F2LLM-1.7B,already_present,"@article{2025F2LLM,
    title={F2LLM Technical Report: Matching SOTA Embedding Performance with 6 Mi..."
codefuse-ai/F2LLM-4B,already_present,"@article{2025F2LLM,
    title={F2LLM Technical Report: Matching SOTA Embedding Performance with 6 Mi..."
ibm-granite/granite-vision-3.3-2b-embedding,already_present,"@article{karlinsky2025granitevision,
  title={Granite Vision: a lightweight, open-source multimodal ..."
openai/clip-vit-base-patch16,already_present,"
@article{radford2021learning,
  title={Learning Transferable Visual Models From Natural Language Su..."
openai/clip-vit-base-patch32,already_present,"
@article{radford2021learning,
  title={Learning Transferable Visual Models From Natural Language Su..."
openai/clip-vit-large-patch14,already_present,"
@article{radford2021learning,
  title={Learning Transferable Visual Models From Natural Language Su..."
shibing624/text2vec-base-chinese,already_present,"@software{text2vec,
  author = {Xu Ming},
  title = {text2vec: A Tool for Text to Vector},
  year = ..."
shibing624/text2vec-base-chinese-paraphrase,already_present,"@software{text2vec,
  author = {Xu Ming},
  title = {text2vec: A Tool for Text to Vector},
  year = ..."
shibing624/text2vec-base-multilingual,already_present,"@software{text2vec,
  author = {Xu Ming},
  title = {text2vec: A Tool for Text to Vector},
  year = ..."
kakaobrain/align-base,already_present,"@misc{kakaobrain2022coyo-align,
    title         = {COYO-ALIGN},
    author        = {Yoon, Boogeo ..."
IEITYuan/Yuan-embedding-2.0-en,citation_not_found,
dmedhi/PawanEmbd-68M,already_present,"@misc{medhi2025pawanembd,
    title={PawanEmbd-68M: Distilled Embedding Model},
    author={Medhi, D..."
BAAI/bge-reranker-v2-m3,already_present,"
    @misc{li2023making,
      title={Making Large Language Models A Better Foundation For Dense Ret..."
jinaai/jina-reranker-v2-base-multilingual,citation_not_found,
castorini/monobert-large-msmarco,citation_not_found,
emillykkejensen/EmbeddingGemma-Scandi-300m,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
emillykkejensen/mmBERTscandi-base-embedding,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
emillykkejensen/Qwen3-Embedding-Scandi-0.6B,citation_not_found,
BAAI/bge-base-en,impl_file_not_found,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
BAAI/bge-base-en-v1.5,already_present,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding},
..."
BAAI/bge-base-zh,added,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
BAAI/bge-base-zh-v1.5,added,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
BAAI/bge-en-icl,already_present,"
    @misc{li2024makingtextembeddersfewshot,
      title={Making Text Embedders Few-Shot Learners},
..."
BAAI/bge-large-en,impl_file_not_found,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
BAAI/bge-large-en-v1.5,already_present,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding},
..."
BAAI/bge-large-zh,added,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
BAAI/bge-large-zh-v1.5,added,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
BAAI/bge-m3,added,"@misc{bge-m3,
      title={BGE M3-Embedding: Multi-Lingual, Multi-Functionality, Multi-Granularity T..."
BAAI/bge-m3-unsupervised,added,"@misc{bge-m3,
      title={BGE M3-Embedding: Multi-Lingual, Multi-Functionality, Multi-Granularity T..."
BAAI/bge-multilingual-gemma2,added,"@misc{bge-m3,
      title={BGE M3-Embedding: Multi-Lingual, Multi-Functionality, Multi-Granularity T..."
BAAI/bge-small-en,added,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
BAAI/bge-small-en-v1.5,already_present,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding},
..."
BAAI/bge-small-zh,added,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
BAAI/bge-small-zh-v1.5,added,"@misc{bge_embedding,
      title={C-Pack: Packaged Resources To Advance General Chinese Embedding}, ..."
manu/bge-m3-custom-fr,citation_not_found,
spartan8806/atles-champion-embedding,added,"@article{conner2025epistemic,
  title={The Epistemic Barrier: How RLHF Makes AI Consciousness Empiri..."
prdev/mini-gte,citation_not_found,
SamilPwC-AXNode-GenAI/PwC-Embedding_expr,citation_not_found,
m3hrdadfi/bert-zwnj-wnli-mean-tokens,citation_not_found,
sbunlp/fabert,added,"@inproceedings{masumi-etal-2025-fabert,
    title = ""{F}a{BERT}: Pre-training {BERT} on {P}ersian Bl..."
HooshvareLab/bert-base-parsbert-uncased,already_present,"
    @article{ParsBERT,
    title={ParsBERT: Transformer-based Model for Persian Language Understand..."
m3hrdadfi/roberta-zwnj-wnli-mean-tokens,citation_not_found,
myrkur/sentence-transformer-parsbert-fa,citation_not_found,
PartAI/TookaBERT-Base,citation_not_found,
PartAI/Tooka-SBERT,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
PartAI/Tooka-SBERT-V2-Large,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
PartAI/Tooka-SBERT-V2-Small,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
castorini/repllama-v1-7b-lora-passage,already_present,"
@article{rankllama,
      title={Fine-Tuning LLaMA for Multi-Stage Text Retrieval},
      author={X..."
samaya-ai/RepLLaMA-reproduced,already_present,"
@article{rankllama,
      title={Fine-Tuning LLaMA for Multi-Stage Text Retrieval},
      author={X..."
nomic-ai/nomic-embed-text-v1,already_present,"
@misc{nussbaum2024nomic,
      title={Nomic Embed: Training a Reproducible Long Context Text Embedd..."
nomic-ai/nomic-embed-text-v1.5,already_present,"
@misc{nussbaum2024nomic,
      title={Nomic Embed: Training a Reproducible Long Context Text Embedd..."
nomic-ai/nomic-embed-text-v1-ablated,citation_not_found,
nomic-ai/nomic-embed-text-v1-unsupervised,citation_not_found,
nomic-ai/modernbert-embed-base,added,"@misc{nussbaum2024nomic,
      title={Nomic Embed: Training a Reproducible Long Context Text Embedde..."
nomic-ai/nomic-embed-vision-v1.5,already_present,"@article{nussbaum2024nomicembedvision,
      title={Nomic Embed Vision: Expanding the Latent Space},..."
ReasonIR/ReasonIR-8B,already_present,"@article{shao2025reasonir,
      title={ReasonIR: Training Retrievers for Reasoning Tasks},
      au..."
yibinlei/LENS-d4000,already_present,"@article{lei2025lens,
  title={Enhancing Lexicon-Based Text Embeddings with Large Language Models},
..."
yibinlei/LENS-d8000,already_present,"@article{lei2025lens,
  title={Enhancing Lexicon-Based Text Embeddings with Large Language Models},
..."
facebook/dinov2-base,added,"misc{oquab2023dinov2,
      title={DINOv2: Learning Robust Visual Features without Supervision}, 
  ..."
facebook/dinov2-giant,added,"misc{oquab2023dinov2,
      title={DINOv2: Learning Robust Visual Features without Supervision}, 
  ..."
facebook/dinov2-large,added,"misc{oquab2023dinov2,
      title={DINOv2: Learning Robust Visual Features without Supervision}, 
  ..."
facebook/dinov2-small,added,"misc{oquab2023dinov2,
      title={DINOv2: Learning Robust Visual Features without Supervision}, 
  ..."
facebook/webssl-dino1b-full2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino2b-full2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino2b-heavy2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino2b-light2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino300m-full2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino3b-full2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino3b-heavy2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino3b-light2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino5b-full2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino7b-full8b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino7b-full8b-378,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-dino7b-full8b-518,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-mae1b-full2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-mae300m-full2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
facebook/webssl-mae700m-full2b-224,added,"@article{fan2025scaling,
  title={Scaling Language-Free Visual Representation Learning}, 
  author={..."
TencentBAC/Conan-embedding-v2,citation_not_found,
Gameselo/STS-multilingual-mpnet-base-v2,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
Haon-Chen/speed-embedding-7b-instruct,already_present,"@article{chen2024little,
    title={Little Giants: Synthesizing High-Quality Embedding Data at Scale..."
Hum-Works/lodestone-base-4096-v1,citation_not_found,
Jaume/gemma-2b-embeddings,citation_not_found,
Lajavaness/bilingual-embedding-base,citation_not_found,
Lajavaness/bilingual-embedding-large,citation_not_found,
Lajavaness/bilingual-embedding-small,citation_not_found,
Mihaiii/Bulbasaur,citation_not_found,
Mihaiii/Ivysaur,citation_not_found,
Mihaiii/Squirtle,citation_not_found,
Mihaiii/Venusaur,citation_not_found,
Mihaiii/Wartortle,citation_not_found,
Mihaiii/gte-micro,citation_not_found,
Mihaiii/gte-micro-v4,citation_not_found,
Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,citation_not_found,
Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
OrdalieTech/Solon-embeddings-large-0.1,citation_not_found,
OrlikB/KartonBERT-USE-base-v1,repo_not_found,
OrlikB/st-polish-kartonberta-base-alpha-v1,repo_not_found,
aari1995/German_Semantic_STS_V2,citation_not_found,
abhinand/MedEmbed-small-v0.1,added,"@software{balachandran2024medembed,
  author = {Balachandran, Abhinand},
  title = {MedEmbed: Medica..."
avsolatorio/GIST-all-MiniLM-L6-v2,added,"@article{solatorio2024gistembed,
    title={GISTEmbed: Guided In-sample Selection of Training Negati..."
avsolatorio/GIST-Embedding-v0,added,"@article{solatorio2024gistembed,
    title={GISTEmbed: Guided In-sample Selection of Training Negati..."
avsolatorio/GIST-large-Embedding-v0,added,"@article{solatorio2024gistembed,
    title={GISTEmbed: Guided In-sample Selection of Training Negati..."
avsolatorio/GIST-small-Embedding-v0,added,"@article{solatorio2024gistembed,
    title={GISTEmbed: Guided In-sample Selection of Training Negati..."
avsolatorio/NoInstruct-small-Embedding-v0,citation_not_found,
bigscience/sgpt-bloom-7b1-msmarco,added,"@article{muennighoff2022sgpt,
  title={SGPT: GPT Sentence Embeddings for Semantic Search},
  author=..."
brahmairesearch/slx-v0.1,citation_not_found,
TencentBAC/Conan-embedding-v1,added,"@misc{li2024conanembeddinggeneraltextembedding,
  title={Conan-embedding: General Text Embedding wit..."
consciousAI/cai-lunaris-text-embeddings,citation_not_found,
consciousAI/cai-stellaris-text-embeddings,citation_not_found,
deepfile/embedder-100p,citation_not_found,
DMetaSoul/Dmeta-embedding-zh-small,citation_not_found,
dwzhu/e5-base-4k,added,"@article{zhu2024longembed,
  title={LongEmbed: Extending Embedding Models for Long Context Retrieval..."
llmrails/ember-v1,added,"@misc{nur2024emberv1,
      title={ember-v1: SOTA embedding model}, 
      author={Enrike Nur and An..."
infgrad/stella-base-en-v2,citation_not_found,
izhx/udever-bloom-1b1,added,"@article{zhang2023language,
  title={Language Models are Universal Embedders},
  author={Zhang, Xin ..."
izhx/udever-bloom-3b,added,"@article{zhang2023language,
  title={Language Models are Universal Embedders},
  author={Zhang, Xin ..."
izhx/udever-bloom-560m,added,"@article{zhang2023language,
  title={Language Models are Universal Embedders},
  author={Zhang, Xin ..."
izhx/udever-bloom-7b1,added,"@article{zhang2023language,
  title={Language Models are Universal Embedders},
  author={Zhang, Xin ..."
malenia1/ternary-weight-embedding,citation_not_found,
manu/sentence_croissant_alpha_v0.2,citation_not_found,
manu/sentence_croissant_alpha_v0.3,citation_not_found,
manu/sentence_croissant_alpha_v0.4,citation_not_found,
omarelshehy/arabic-english-sts-matryoshka,added,"@inproceedings{reimers-2019-sentence-bert,
    title = ""Sentence-BERT: Sentence Embeddings using Sia..."
openbmb/MiniCPM-Embedding,citation_not_found,
DMetaSoul/sbert-chinese-general-v1,citation_not_found,
sdadas/mmlw-e5-base,added,"@article{dadas2024pirb,
  title={{PIRB}: A Comprehensive Benchmark of Polish Dense and Hybrid Text R..."
sdadas/mmlw-e5-large,added,"@article{dadas2024pirb,
  title={{PIRB}: A Comprehensive Benchmark of Polish Dense and Hybrid Text R..."
sdadas/mmlw-e5-small,added,"@article{dadas2024pirb,
  title={{PIRB}: A Comprehensive Benchmark of Polish Dense and Hybrid Text R..."
sdadas/mmlw-roberta-base,added,"@article{dadas2024pirb,
  title={{PIRB}: A Comprehensive Benchmark of Polish Dense and Hybrid Text R..."
sdadas/mmlw-roberta-large,added,"@article{dadas2024pirb,
  title={{PIRB}: A Comprehensive Benchmark of Polish Dense and Hybrid Text R..."
silma-ai/silma-embeddding-matryoshka-v0.1,added,"@misc{silma2024embedding,
  author = {Abu Bakr Soliman, Karim Ouda, SILMA AI},
  title = {SILMA Embe..."
