Model Name,Model Family,Type,Params,Model size,Borda Rank,Average Mean,Average Macro,Retr,QA,Cls,Clust,Pair,ZS
LCO-Embedding-Omni-7B,LCO-Embedding,MLLM-based embedding,8.9B,8.9,1,57.6,56.2,58.7,57,59.2,27.3,79.6,55.5
e5-omni-7B,e5-omni,MLLM-based embedding,8.9B,8.9,2,55,51.2,59.4,43.8,54.7,21.5,77.3,50.2
ebind-full,ebind,Multimodal binding,1.8B,1.8,3,55.5,50.3,62.3,31.4,51.3,20.1,75.4,61.1
ebind-audio-vision,ebind,Multimodal binding,764M,0.764,3,55.5,50.3,62.3,31.4,51.3,20.1,75.4,61.1
LCO-Embedding-Omni-3B,LCO-Embedding,MLLM-based embedding,4.7B,4.7,5,54.6,54.5,54.1,56.4,56.1,27,80.7,52.7
OmniEmbed-v0.1,pe-av,MLLM-based embedding,8.9B,8.9,6,52.9,50.9,52.9,50.2,58.5,20.6,74.7,48.5
pe-av-large,OmniEmbed,Audio-visual contrastive,2.2B,2.2,6,54.3,46.8,62,29.2,54.8,21.7,75.2,37.9
pe-av-base,pe-av,Audio-visual contrastive,1.0B,1,8,53.1,46.3,59.6,30.6,54.8,22.6,75.7,34.6
BidirLM-Omni-2.5B-Embedding,BirdLM-Omni,MLLM-based embedding,2.4B,2.4,9,51.2,52.1,45.5,55.8,61.2,17.1,78.7,53.9
pe-av-small,pe-av,Audio-visual contrastive,847M,0.847,10,52.2,45.6,57.6,27.8,54.8,22.9,75.3,35.4
e5-omni-3B,e5-omni,MLLM-based embedding,4.7B,4.7,11,48.5,45.8,52.2,45.4,48.3,21.4,77,30.8
omni-embed-nemotron-3b,omni-embed-nemotron,MLLM-based embedding,4.7B,4.7,12,42.8,45.8,32.9,46.6,54.6,20.5,77.7,42.5
jina-embeddings-v5-omni-nano,jina-v5,MLLM-based embedding,986M,0.986,13,20.8,25.7,10.3,24.4,28,12.6,59.1,20
jina-embeddings-v5-omni-small,jina-v5,MLLM-based embedding,1.6B,1.6,14,19.4,25.4,6.2,21.2,28.5,13.7,58.6,23.8
Qwen2.5-Omni-7B,Qwen2.5-Omni,Generative MLLM,10.7B,10.7,15,12.8,18.5,0.5,13.2,20.2,7.5,53.2,16.5
Qwen2.5-Omni-3B,Qwen2.5-Omni,Generative MLLM,5.5B,5.5,16,11.4,16.3,0.6,14.4,19.3,5.9,53.7,3.8